Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Ignition Base Timing* (degrees)
0,-1.56,2.34,14.81,13.28,176,0.26,1063,0.00,0.00,33.33,16,13.50,1.36,115,4.64,-10.01,1.36,0.00,0.00,13.05
265,-1.56,2.34,14.59,13.28,176,0.25,1066,0.00,0.00,33.33,16,13.00,1.36,115,4.64,-10.01,1.36,0.00,0.00,13.05
531,-1.56,2.34,14.70,13.36,176,0.26,1045,0.00,0.00,33.33,16,15.50,1.34,115,4.64,-10.01,1.36,0.00,0.00,13.05
797,-2.34,2.34,14.70,13.44,176,0.26,1055,0.00,0.00,33.33,16,14.00,1.35,115,4.64,-10.01,1.36,0.00,0.00,13.05
1063,-2.34,2.34,14.59,13.52,176,0.26,1049,0.00,0.00,33.33,16,16.00,1.34,115,4.79,-9.87,1.36,0.00,0.00,13.05
1329,-2.34,2.34,14.70,13.52,176,0.27,1019,0.00,0.00,33.33,16,16.50,1.30,115,4.79,-9.87,1.36,0.00,0.00,13.05
1595,-1.56,2.34,15.16,13.60,176,0.26,1057,0.00,0.00,33.33,16,11.50,1.35,115,4.79,-9.87,1.36,0.00,0.00,13.05
1861,-1.56,2.34,15.04,13.60,176,0.27,1022,0.00,0.00,33.33,16,15.50,1.31,115,4.79,-9.87,1.36,0.00,0.00,13.05
2127,-1.56,2.34,14.93,13.60,176,0.25,1066,0.00,0.00,33.33,16,10.50,1.36,115,4.79,-9.87,1.36,0.00,0.00,13.05
2393,-0.78,2.34,15.04,13.68,176,0.26,1046,0.00,0.00,33.33,16,13.00,1.34,115,4.79,-9.87,1.36,0.00,0.00,13.05
2659,-0.78,2.34,14.93,13.68,176,0.26,1069,0.00,0.00,33.33,16,10.50,1.37,115,4.79,-9.87,1.36,0.00,0.00,13.05
2925,-1.56,2.34,14.70,13.68,176,0.26,1059,0.00,0.00,33.33,16,12.00,1.36,115,4.79,-9.87,1.36,0.00,0.00,13.05
3191,-1.56,2.34,14.59,13.68,176,0.26,1053,0.00,0.00,33.33,16,11.50,1.37,115,4.64,-10.01,1.36,0.00,0.00,13.05
3456,-1.56,2.34,14.70,13.68,176,0.26,1062,0.00,0.00,33.33,16,13.00,1.35,115,4.79,-9.87,1.36,0.00,0.00,13.05
3722,-1.56,2.34,14.70,13.68,176,0.25,1066,0.00,0.00,33.33,16,13.00,1.35,115,4.64,-10.01,1.36,0.00,0.00,13.05
3988,-2.34,2.34,14.70,13.44,176,0.26,1047,0.00,0.00,33.33,16,14.00,1.35,115,4.64,-10.01,1.36,0.00,0.00,13.05
4254,-2.34,2.34,14.59,13.36,176,0.26,1056,0.00,0.00,33.33,16,13.00,1.34,115,4.79,-9.87,1.36,0.00,0.00,13.05
4520,-2.34,2.34,14.81,13.52,176,0.26,1050,0.00,0.00,33.33,16,13.00,1.34,115,4.79,-9.87,1.36,0.00,0.00,13.05
4786,-2.34,2.34,14.81,13.44,176,0.26,1036,0.00,0.00,33.33,16,13.50,1.33,115,4.79,-9.87,1.36,0.00,0.00,13.05
5052,-2.34,2.34,14.93,13.52,176,0.26,1049,0.00,0.00,33.33,16,12.50,1.34,115,4.79,-9.87,1.36,0.00,0.00,13.05
5318,-1.56,2.34,15.04,13.60,176,0.26,1056,0.00,0.00,33.33,16,11.50,1.35,115,4.79,-9.87,1.36,0.00,0.00,13.05
5584,-1.56,2.34,15.16,13.68,176,0.26,1065,0.00,0.00,33.33,16,11.50,1.36,115,4.64,-10.01,1.36,0.00,0.00,13.05
5850,-1.56,2.34,14.81,13.68,176,0.25,1066,0.00,0.00,33.33,16,11.50,1.36,115,4.64,-10.01,1.36,0.00,0.00,13.05
6116,-1.56,2.34,14.70,13.68,176,0.26,1060,0.00,0.00,33.33,16,12.00,1.36,115,4.64,-10.01,1.36,0.00,0.00,13.05
6382,-1.56,2.34,14.70,13.60,176,0.26,1055,0.00,0.00,33.33,16,13.00,1.35,115,4.64,-10.01,1.36,0.00,0.00,13.05
6648,-1.56,2.34,14.81,13.60,176,0.26,1047,0.00,0.00,33.33,16,13.50,1.34,115,4.79,-9.87,1.38,0.00,0.00,13.05
6913,-1.56,2.34,14.81,13.68,176,0.26,1068,0.00,0.00,33.33,16,11.50,1.37,115,4.64,-10.01,1.36,0.00,0.00,13.05
7179,-1.56,2.34,14.70,13.68,176,0.26,1034,0.00,0.00,33.33,16,15.00,1.32,115,4.79,-9.87,1.36,0.00,0.00,13.05
7445,-1.56,2.34,14.70,13.68,176,0.26,1051,0.00,0.00,33.33,16,13.00,1.35,115,4.79,-9.87,1.36,0.00,0.00,13.05
7711,-1.56,2.34,14.81,13.60,176,0.26,1052,0.00,0.00,33.33,16,13.00,1.35,115,4.79,-9.87,1.36,0.00,0.00,13.05
7977,-2.34,2.34,14.59,13.68,176,0.26,1039,0.00,0.00,33.33,16,14.00,1.33,115,4.79,-9.87,1.38,0.00,0.00,13.05
8243,-2.34,2.34,14.70,13.68,176,0.26,1057,0.00,0.00,33.33,16,11.50,1.36,115,4.79,-9.87,1.36,0.00,0.00,13.05
8508,-1.56,2.34,14.93,13.52,176,0.25,1063,0.00,0.00,33.33,16,11.50,1.36,115,4.64,-10.01,1.36,0.00,0.00,13.05
8774,-1.56,2.34,14.93,13.52,176,0.26,1041,0.00,0.00,33.33,16,14.00,1.35,115,4.79,-9.87,1.36,0.00,0.00,13.05
