Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),CL/OL Fueling* (status)
0,-16.41,-4.69,14.36,12.80,180,0.24,836,0.00,0.00,33.33,16,13.50,1.07,106,4.64,-10.01,1.26,0.00,0.00,8
267,-17.19,-4.69,14.59,12.96,180,0.25,836,0.00,0.00,33.33,16,13.00,1.07,106,4.79,-9.87,1.28,0.00,0.00,8
533,-17.19,-4.69,14.59,13.44,180,0.25,841,0.00,0.00,33.33,16,12.00,0.90,106,4.79,-9.87,1.26,0.00,0.00,8
799,-17.19,-4.69,14.59,13.60,180,0.25,827,0.00,0.00,33.33,16,14.00,0.88,106,4.93,-9.72,1.26,0.00,0.00,8
1065,-17.19,-4.69,14.70,13.60,180,0.26,812,0.00,0.00,33.33,16,15.50,0.87,106,4.93,-9.72,1.26,0.00,0.00,8
1331,-16.41,-4.69,14.93,13.52,180,0.27,792,0.00,0.00,33.33,16,16.50,0.85,106,5.08,-9.58,1.28,0.00,0.00,8
1596,-14.84,-4.69,15.50,13.52,180,0.27,788,0.00,0.00,33.33,16,16.00,0.84,106,5.22,-9.43,1.28,0.00,0.00,8
1863,-12.50,-4.69,16.08,13.60,180,0.29,765,0.00,0.00,33.33,16,17.50,0.82,106,5.37,-9.29,1.28,0.00,0.00,8
2128,-10.16,-4.69,16.08,13.44,180,0.38,727,0.00,0.00,33.33,16,20.00,0.95,106,5.95,-8.71,1.36,0.00,0.00,8
2394,-7.03,-4.69,17.00,13.92,180,0.33,854,0.00,0.00,33.33,16,6.00,1.09,106,6.53,-8.13,1.40,0.00,0.00,8
2660,-2.34,-4.69,17.46,13.68,180,0.33,839,0.00,0.00,33.33,16,9.00,1.07,106,6.24,-8.42,1.36,0.00,0.00,8
2926,2.34,-4.69,17.80,13.76,180,0.29,881,0.00,0.00,33.33,16,6.00,1.13,106,6.09,-8.56,1.36,0.00,0.00,8
3192,6.25,-4.69,17.11,13.68,180,0.22,937,0.00,0.00,33.33,16,4.50,1.20,106,5.37,-9.29,1.26,0.00,0.00,8
3458,7.03,-4.69,16.42,13.60,180,0.25,872,0.00,0.00,33.33,16,10.50,1.12,106,5.08,-9.58,1.28,0.00,0.00,8
3723,8.59,-4.69,15.62,13.60,180,0.25,869,0.00,0.00,33.33,16,11.50,1.11,106,4.93,-9.72,1.30,0.00,0.00,8
3989,10.16,-4.69,15.04,13.68,180,0.25,874,0.00,0.00,33.33,16,11.50,1.12,106,4.93,-9.72,1.26,0.00,0.00,8
4255,10.94,-4.69,14.81,13.68,180,0.24,885,0.00,0.00,33.33,16,10.50,1.13,106,4.79,-9.87,1.26,0.00,0.00,8
4520,11.72,-4.69,14.70,13.52,180,0.23,873,0.00,0.00,33.33,16,12.50,1.12,106,4.64,-10.01,1.26,0.00,0.00,8
4786,11.72,-4.69,14.59,13.52,180,0.23,880,0.00,0.00,33.33,16,12.00,1.13,106,4.64,-10.01,1.24,0.00,0.00,8
5052,10.94,-4.69,14.59,13.52,180,0.22,869,0.00,0.00,33.33,16,12.50,0.93,106,4.50,-10.16,1.24,0.00,0.00,8
5318,10.16,-4.69,14.47,13.44,180,0.22,860,0.00,0.00,33.33,16,15.50,0.92,106,4.50,-10.16,1.24,0.00,0.00,8
5584,9.38,-4.69,14.24,13.36,180,0.22,841,0.00,0.00,33.33,16,15.00,0.90,106,4.50,-10.16,1.24,0.00,0.00,8
5849,7.81,-4.69,14.01,13.36,180,0.23,828,0.00,0.00,33.33,16,16.00,1.07,106,4.50,-10.16,1.22,0.00,0.00,8
6115,6.25,-4.69,13.90,13.36,180,0.23,814,0.00,0.00,33.33,16,16.50,1.05,106,4.50,-10.16,1.22,0.00,0.00,8
6380,5.47,-4.69,14.01,13.44,180,0.22,819,0.00,0.00,33.33,16,15.50,0.87,106,4.64,-10.01,1.24,0.00,0.00,8
6646,4.69,-4.69,14.01,13.52,180,0.22,803,0.00,0.00,33.33,16,16.50,0.86,106,4.50,-10.16,1.22,0.00,0.00,8
6912,3.91,-4.69,14.24,13.52,180,0.23,803,0.00,0.00,33.33,16,15.50,0.86,106,4.64,-10.01,1.24,0.00,0.00,8
7178,2.34,-4.69,13.90,13.60,180,0.24,800,0.00,0.00,33.33,16,15.00,0.85,106,4.79,-9.87,1.24,0.00,0.00,8
7444,0.78,-4.69,13.90,13.60,180,0.25,792,0.00,0.00,33.33,16,15.00,0.85,106,4.93,-9.72,1.24,0.00,0.00,8
7710,0.78,-4.69,14.36,13.44,180,0.25,786,0.00,0.00,33.33,16,15.00,0.84,106,4.93,-9.72,1.24,0.00,0.00,8
7976,0.78,-4.69,14.59,13.44,180,0.26,770,0.00,0.00,33.33,16,16.50,0.98,106,5.08,-9.58,1.26,0.00,0.00,8
8242,1.56,-4.69,14.93,13.44,180,0.28,792,0.00,0.00,33.33,16,13.00,1.01,106,5.22,-9.43,1.30,0.00,0.00,8
8507,3.12,-4.69,15.62,13.44,180,0.28,794,0.00,0.00,33.33,16,13.00,1.02,106,5.37,-9.29,1.30,0.00,0.00,8
8773,5.47,-4.69,15.96,13.36,180,0.26,823,0.00,0.00,33.33,16,10.00,1.05,106,5.37,-9.29,1.28,0.00,0.00,8
9039,7.03,-4.69,16.08,13.28,180,0.25,840,0.00,0.00,33.33,16,9.50,1.08,106,5.08,-9.43,1.24,0.00,0.00,8
9304,8.59,-4.69,16.08,13.28,180,0.25,838,0.00,0.00,33.33,16,10.00,1.07,106,5.08,-9.58,1.26,0.00,0.00,8
9570,9.38,-4.69,15.62,13.28,180,0.24,842,0.00,0.00,33.33,16,10.50,1.08,106,4.93,-9.72,1.26,0.00,0.00,8
9837,8.59,-4.69,15.04,13.36,180,0.24,852,0.00,0.00,33.33,16,10.50,1.09,106,4.79,-9.87,1.24,0.00,0.00,8
10103,8.59,-4.69,14.70,13.36,180,0.24,826,0.00,0.00,33.33,16,13.00,1.06,106,4.79,-9.87,1.24,0.00,0.00,8
10368,7.81,-4.69,14.59,13.44,180,0.24,829,0.00,0.00,33.33,16,12.50,1.06,106,4.79,-9.87,1.26,0.00,0.00,8
10634,8.59,-4.69,14.70,13.52,180,0.24,819,0.00,0.00,33.33,16,13.50,1.05,106,4.79,-9.87,1.24,0.00,0.00,8
10900,7.81,-4.69,14.81,13.52,180,0.24,824,0.00,0.00,33.33,16,12.50,1.05,106,4.79,-9.87,1.24,0.00,0.00,8
11166,7.81,-4.69,14.59,13.52,180,0.24,801,0.00,0.00,33.33,16,15.00,1.03,106,4.79,-9.87,1.22,0.00,0.00,8
11431,7.03,-4.69,14.59,13.52,180,0.25,802,0.00,0.00,33.33,16,14.00,1.02,106,4.93,-9.72,1.24,0.00,0.00,8
11697,7.03,-4.69,14.70,13.44,180,0.25,810,0.00,0.00,33.33,16,13.00,1.04,106,4.93,-9.72,1.24,0.00,0.00,8
11963,7.03,-4.69,14.70,13.36,180,0.24,811,0.00,0.00,33.33,16,13.00,1.04,106,4.79,-9.87,1.24,0.00,0.00,8
12228,7.03,-4.69,14.59,13.36,180,0.23,821,0.00,0.00,33.33,16,12.00,1.05,106,4.79,-9.87,1.24,0.00,0.00,8
12494,6.25,-4.69,14.70,13.36,180,0.24,818,0.00,0.00,33.33,16,12.50,1.05,106,4.79,-9.87,1.24,0.00,0.00,8
12760,7.03,-4.69,14.70,13.36,181,0.24,808,0.00,0.00,33.33,16,13.50,1.03,106,4.79,-9.87,1.24,0.00,0.00,8
13025,6.25,-4.69,14.59,13.44,180,0.24,802,0.00,0.00,33.33,16,14.00,1.03,106,4.93,-9.72,1.26,0.00,0.00,8
13291,5.47,-4.69,14.59,13.52,180,0.23,826,0.00,0.00,33.33,16,11.50,0.88,106,4.79,-9.87,1.24,0.00,0.00,8
13556,5.47,-4.69,14.59,13.52,181,0.24,807,0.00,0.00,33.33,16,13.00,0.86,106,4.79,-9.87,1.24,0.00,0.00,8
13846,6.25,-4.69,14.81,13.52,181,0.25,799,0.00,0.00,33.33,16,14.00,1.02,106,4.93,-9.87,1.26,0.00,0.00,8
14113,6.25,-4.69,14.93,13.60,181,0.25,808,0.00,0.00,33.33,16,13.00,1.04,106,4.93,-9.72,1.26,0.00,0.00,8
14379,6.25,-4.69,14.81,13.52,181,0.24,815,0.00,0.00,33.33,16,12.00,1.05,106,4.93,-9.72,1.24,0.00,0.00,8
14644,7.03,-4.69,15.04,13.52,181,0.23,820,0.00,0.00,33.33,16,11.50,0.88,106,4.79,-9.87,1.24,0.00,0.00,8
14910,7.03,-4.69,15.04,13.44,181,0.23,810,0.00,0.00,33.33,16,13.00,0.86,106,4.79,-9.87,1.22,0.00,0.00,8
15176,7.03,-4.69,14.93,13.36,181,0.24,804,0.00,0.00,33.33,16,13.00,1.03,106,4.79,-9.87,1.22,0.00,0.00,8
15441,7.03,-4.69,14.93,13.36,181,0.24,801,0.00,0.00,33.33,16,13.50,1.02,106,4.79,-9.87,1.24,0.00,0.00,8
15707,7.81,-4.69,14.93,13.36,181,0.25,798,0.00,0.00,33.33,16,13.50,1.02,106,4.93,-9.72,1.24,0.00,0.00,8
15973,6.25,-4.69,14.59,13.36,181,0.24,807,0.00,0.00,33.33,16,13.00,1.03,106,4.93,-9.72,1.24,0.00,0.00,8
