Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-7.03,-0.78,15.04,13.36,176,0.24,1222,0.00,0.00,33.33,16,12.00,1.30,109,4.35,-10.45,1.40,0.00,0.00
256,-6.25,-0.78,15.04,13.60,176,0.25,1208,0.00,0.00,33.33,16,14.50,1.29,108,4.50,-10.30,1.40,0.00,0.00
513,-4.69,-0.78,15.27,13.60,176,0.24,1209,0.00,0.00,33.33,16,14.00,1.29,108,4.50,-10.30,1.40,0.00,0.00
770,-3.91,-0.78,15.27,13.68,176,0.25,1196,0.00,0.00,33.33,16,14.00,1.28,108,4.64,-10.16,1.40,0.00,0.00
1028,-2.34,-0.78,15.39,13.60,176,0.24,1192,0.00,0.00,33.33,16,14.00,1.27,108,4.64,-10.16,1.40,0.00,0.00
1285,-0.78,-0.78,15.62,13.60,176,0.24,1183,0.00,0.00,33.33,16,14.00,1.26,108,4.64,-10.16,1.38,0.00,0.00
1543,0.00,-0.78,15.50,13.60,176,0.24,1175,0.00,0.00,33.33,16,15.50,1.24,108,4.64,-10.16,1.38,0.00,0.00
1800,1.56,-0.78,15.39,13.60,176,0.24,1184,0.00,0.00,33.33,16,13.00,1.26,108,4.50,-10.30,1.38,0.00,0.00
2056,1.56,-0.78,15.04,13.60,176,0.23,1168,0.00,0.00,33.33,16,13.50,1.25,108,4.35,-10.45,1.36,0.00,0.00
2313,0.78,-0.78,14.70,13.60,176,0.23,1171,0.00,0.00,33.33,16,13.00,1.25,108,4.35,-10.45,1.36,0.00,0.00
2570,0.78,-0.78,14.47,13.68,176,0.22,1186,0.00,0.00,33.33,16,11.50,1.27,108,4.35,-10.45,1.34,0.00,0.00
2827,-0.78,-0.78,14.24,13.68,176,0.22,1180,0.00,0.00,33.33,16,13.00,1.26,108,4.35,-10.45,1.36,0.00,0.00
3084,-2.34,-0.78,14.24,13.68,176,0.22,1186,0.00,0.00,33.33,16,13.00,1.26,108,4.35,-10.45,1.36,0.00,0.00
3340,-3.91,-0.78,14.13,13.60,176,0.23,1155,0.00,0.00,33.33,16,13.50,1.23,108,4.35,-10.45,1.34,0.00,0.00
