Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Turbo Dynamics Burst* (absolute %)
0,-21.09,-0.78,12.40,12.96,178,0.07,803,0.00,0.00,33.33,16,13.50,1.03,64,4.50,-10.30,1.20,0.00,0.00,0.00
275,-21.09,-0.78,12.40,12.96,178,0.07,833,0.00,0.00,33.33,16,10.00,1.06,64,4.50,-10.30,1.20,0.00,0.00,0.00
550,-21.09,-0.78,12.40,13.12,178,0.07,818,0.00,0.00,33.33,16,11.50,1.05,64,4.50,-10.30,1.20,0.00,0.00,0.00
824,-21.09,-0.78,12.40,13.36,178,0.07,806,0.00,0.00,33.33,16,13.00,1.03,64,4.50,-10.30,1.20,0.00,0.00,0.00
1099,-21.09,-0.78,12.40,13.52,178,0.07,801,0.00,0.00,33.33,16,12.00,1.03,64,4.64,-10.16,1.20,0.00,0.00,0.00
1373,-21.09,-0.78,12.40,13.52,178,0.08,828,0.00,0.00,33.33,16,10.50,1.06,64,4.64,-10.16,1.20,0.00,0.00,0.00
1648,-21.09,-0.78,12.52,13.52,178,0.07,822,0.00,0.00,33.33,16,11.00,1.06,64,4.50,-10.30,1.18,0.00,0.00,0.00
1922,-21.09,-0.78,12.63,13.44,178,0.07,813,0.00,0.00,33.33,16,12.00,1.04,64,4.50,-10.30,1.18,0.00,0.00,0.00
2197,-21.09,-0.78,12.63,13.36,178,0.07,815,0.00,0.00,33.33,16,12.00,1.04,64,4.50,-10.30,1.18,0.00,0.00,0.00
2471,-21.09,-0.78,12.63,13.28,178,0.07,815,0.00,0.00,33.33,16,11.50,1.04,66,4.64,-10.16,1.18,0.00,0.00,0.00
2745,-21.09,-0.78,12.63,13.28,178,0.08,809,0.00,0.00,33.33,16,12.50,1.04,64,4.64,-10.16,1.20,0.00,0.00,0.00
3020,-21.09,-0.78,12.63,13.44,178,0.08,809,0.00,0.00,33.33,16,12.00,1.03,66,4.64,-10.16,1.20,0.00,0.00,0.00
3294,-21.09,-0.78,12.63,13.36,178,0.08,830,0.00,0.00,33.33,16,10.00,1.07,66,4.64,-10.16,1.20,0.00,0.00,0.00
3568,-21.09,-0.78,12.63,13.36,178,0.08,804,0.00,0.00,33.33,16,13.00,1.03,66,4.64,-10.16,1.20,0.00,0.00,0.00
3842,-21.09,-0.78,12.63,13.44,178,0.07,831,0.00,0.00,33.33,16,10.50,1.06,66,4.64,-10.16,1.20,0.00,0.00,0.00
4117,-21.09,-0.78,12.63,13.44,178,0.08,827,0.00,0.00,33.33,16,11.50,1.06,66,4.50,-10.30,1.20,0.00,0.00,0.00
4392,-21.09,-0.78,12.63,13.44,178,0.07,828,0.00,0.00,33.33,16,10.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
4666,-21.09,-0.78,12.63,13.36,178,0.07,819,0.00,0.00,33.33,16,11.50,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
4940,-21.09,-0.78,12.63,13.44,178,0.07,809,0.00,0.00,33.33,16,13.00,1.04,64,4.50,-10.30,1.18,0.00,0.00,0.00
