Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,0.00,0.00,12.06,12.80,190,0.15,1181,0.00,0.00,33.33,16,12.50,1.51,86,3.63,-11.32,1.30,0.00,0.00
258,0.00,0.00,12.06,12.64,190,0.15,1180,0.00,0.00,33.33,16,12.50,1.51,86,3.63,-11.32,1.30,0.00,0.00
515,0.00,0.00,12.17,13.20,190,0.16,1160,0.00,0.00,33.33,16,14.00,1.49,86,3.63,-11.32,1.30,0.00,0.00
772,0.00,0.00,12.17,13.52,190,0.16,1159,0.00,0.00,33.33,16,13.50,1.48,86,3.77,-11.17,1.30,0.00,0.00
1029,0.00,0.00,12.17,13.60,190,0.15,1154,0.00,0.00,33.33,16,12.50,1.48,86,3.77,-11.17,1.30,0.00,0.00
1286,0.00,0.00,12.17,13.68,190,0.15,1160,0.00,0.00,33.33,16,12.00,1.48,86,3.77,-11.17,1.30,0.00,0.00
1542,0.00,0.00,12.17,13.68,190,0.15,1163,0.00,0.00,33.33,16,10.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
1800,0.00,0.00,12.17,13.68,190,0.15,1183,0.00,0.00,33.33,16,10.50,1.51,86,3.77,-11.17,1.30,0.00,0.00
2057,0.00,0.00,12.29,13.76,190,0.15,1170,0.00,0.00,33.33,16,11.50,1.50,86,3.77,-11.17,1.30,0.00,0.00
2314,0.00,0.00,12.29,13.76,190,0.15,1168,0.00,0.00,33.33,16,13.00,1.50,86,3.77,-11.17,1.30,0.00,0.00
2571,0.00,0.00,12.29,13.76,190,0.16,1154,0.00,0.00,33.33,16,13.00,1.48,86,3.92,-11.03,1.30,0.00,0.00
2828,0.00,0.00,12.29,13.76,190,0.16,1163,0.00,0.00,33.33,16,11.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
3085,0.00,0.00,12.29,13.76,190,0.15,1169,0.00,0.00,33.33,16,10.50,1.50,86,3.92,-11.03,1.30,0.00,0.00
3341,0.00,0.00,12.17,13.76,190,0.16,1163,0.00,0.00,33.33,16,11.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
3601,0.00,0.00,12.29,13.52,190,0.15,1169,0.00,0.00,33.33,16,11.00,1.50,86,3.92,-11.03,1.30,0.00,0.00
3862,0.00,0.00,12.29,13.52,190,0.16,1162,0.00,0.00,33.33,16,12.00,1.49,86,3.77,-11.17,1.30,0.00,0.00
4119,0.00,0.00,12.29,13.60,190,0.16,1158,0.00,0.00,33.33,16,12.50,1.48,86,3.77,-11.17,1.30,0.00,0.00
4375,0.00,0.00,12.29,13.60,190,0.15,1154,0.00,0.00,33.33,16,13.00,1.48,86,3.77,-11.17,1.30,0.00,0.00
4633,0.00,0.00,12.29,13.68,190,0.15,1160,0.00,0.00,33.33,16,10.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
4891,0.00,0.00,12.29,13.60,190,0.15,1165,0.00,0.00,33.33,16,11.00,1.49,86,3.77,-11.17,1.30,0.00,0.00
5148,0.00,0.00,12.29,13.60,190,0.16,1163,0.00,0.00,33.33,16,11.50,1.49,86,3.77,-11.17,1.30,0.00,0.00
5405,0.00,0.00,12.29,13.68,190,0.15,1164,0.00,0.00,33.33,16,11.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
5662,0.00,0.00,12.29,13.68,190,0.15,1167,0.00,0.00,33.33,16,9.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
5919,0.00,0.00,12.29,13.60,190,0.15,1175,0.00,0.00,33.33,16,11.00,1.50,86,3.77,-11.17,1.30,0.00,0.00
6176,0.00,0.00,12.29,13.68,190,0.16,1162,0.00,0.00,33.33,16,11.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
6433,0.00,0.00,12.29,13.68,190,0.15,1169,0.00,0.00,33.33,16,11.00,1.50,86,3.92,-11.03,1.30,0.00,0.00
6690,0.00,0.00,12.29,13.68,190,0.16,1159,0.00,0.00,33.33,16,11.50,1.48,86,3.92,-11.03,1.30,0.00,0.00
6947,0.00,0.00,12.29,13.68,190,0.16,1162,0.00,0.00,33.33,16,10.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
7204,0.00,0.00,12.29,13.60,190,0.16,1164,0.00,0.00,33.33,16,11.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
7461,0.00,0.00,12.29,13.60,190,0.16,1148,0.00,0.00,33.33,16,13.00,1.47,86,3.77,-11.17,1.30,0.00,0.00
7719,0.00,0.00,12.40,13.60,190,0.16,1159,0.00,0.00,33.33,16,11.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
7976,0.00,0.00,12.29,13.60,190,0.15,1164,0.00,0.00,33.33,16,11.50,1.49,86,3.77,-11.17,1.30,0.00,0.00
8233,0.00,0.00,12.40,13.68,190,0.16,1162,0.00,0.00,33.33,16,12.50,1.49,86,3.77,-11.17,1.30,0.00,0.00
8489,0.00,0.00,12.40,13.68,190,0.15,1162,0.00,0.00,33.33,16,11.00,1.49,86,3.77,-11.17,1.30,0.00,0.00
8746,0.00,0.00,12.29,13.68,190,0.16,1159,0.00,0.00,33.33,16,11.50,1.48,86,3.77,-11.17,1.30,0.00,0.00
9003,0.00,0.00,12.29,13.68,190,0.16,1158,0.00,0.00,33.33,16,10.50,1.48,86,3.92,-11.03,1.30,0.00,0.00
9260,0.00,0.00,12.29,13.68,190,0.15,1172,0.00,0.00,33.33,16,10.50,1.50,86,3.77,-11.17,1.30,0.00,0.00
9517,0.00,0.00,12.29,13.68,190,0.15,1166,0.00,0.00,33.33,16,11.50,1.49,86,3.92,-11.03,1.30,0.00,0.00
9774,0.00,0.00,12.29,13.68,190,0.16,1155,0.00,0.00,33.33,16,12.00,1.48,86,3.92,-11.03,1.30,0.00,0.00
10032,0.00,0.00,12.29,13.68,190,0.15,1166,0.00,0.00,33.33,16,11.00,1.49,86,3.92,-11.03,1.30,0.00,0.00
10288,0.00,0.00,12.29,13.68,190,0.16,1160,0.00,0.00,33.33,16,11.50,1.48,86,3.92,-11.03,1.30,0.00,0.00
10545,0.00,0.00,12.29,13.68,190,0.15,1164,0.00,0.00,33.33,16,11.00,1.49,86,3.92,-11.03,1.30,0.00,0.00
10803,0.00,0.00,12.29,13.68,190,0.15,1171,0.00,0.00,33.33,16,10.50,1.50,86,3.92,-11.03,1.30,0.00,0.00
11060,0.00,0.00,12.29,13.68,190,0.15,1170,0.00,0.00,33.33,16,11.00,1.51,86,3.77,-11.17,1.30,0.00,0.00
11316,0.00,0.00,12.40,13.68,190,0.16,1178,0.00,0.00,33.33,16,12.00,1.51,86,3.77,-11.17,1.30,0.00,0.00
11574,0.00,0.00,12.40,13.68,190,0.15,1161,0.00,0.00,33.33,16,12.00,1.49,86,3.77,-11.17,1.30,0.00,0.00
11831,0.00,0.00,12.40,13.68,190,0.15,1157,0.00,0.00,33.33,16,12.50,1.48,88,3.77,-11.17,1.30,0.00,0.00
12088,0.00,0.00,12.29,13.76,190,0.16,1161,0.00,0.00,33.33,16,12.00,1.49,88,3.77,-11.17,1.30,0.00,0.00
12345,0.00,0.00,12.29,13.76,190,0.16,1164,0.00,0.00,33.33,16,11.00,1.49,88,3.77,-11.17,1.30,0.00,0.00
12602,0.00,0.00,12.29,13.76,190,0.16,1161,0.00,0.00,33.33,16,10.50,1.49,88,3.77,-11.17,1.30,0.00,0.00
12859,0.00,0.00,12.29,13.76,190,0.15,1174,0.00,0.00,33.33,16,11.50,1.50,88,3.77,-11.17,1.30,0.00,0.00
13116,0.00,0.00,12.29,13.76,190,0.15,1179,0.00,0.00,33.33,16,10.50,1.51,88,3.77,-11.17,1.30,0.00,0.00
13373,0.00,0.00,12.29,13.76,190,0.16,1165,0.00,0.00,33.33,16,12.00,1.49,88,3.77,-11.17,1.30,0.00,0.00
13630,0.00,0.00,12.29,13.76,190,0.15,1161,0.00,0.00,33.33,16,12.00,1.49,88,3.77,-11.17,1.30,0.00,0.00
13887,0.00,0.00,12.29,13.68,190,0.15,1161,0.00,0.00,33.33,16,12.00,1.49,88,3.77,-11.17,1.30,0.00,0.00
14144,0.00,0.00,12.29,13.68,190,0.15,1160,0.00,0.00,33.33,16,11.50,1.49,88,3.77,-11.17,1.30,0.00,0.00
14401,0.00,0.00,12.29,13.68,192,0.16,1145,0.00,0.00,33.33,16,12.50,1.48,88,3.92,-11.03,1.30,0.00,0.00
14658,0.00,0.00,12.29,13.76,192,0.16,1162,0.00,0.00,33.33,16,11.50,1.49,88,3.92,-11.03,1.30,0.00,0.00
14915,0.00,0.00,12.29,13.68,192,0.16,1157,0.00,0.00,33.33,16,12.00,1.48,88,3.92,-11.03,1.30,0.00,0.00
15172,0.00,0.00,12.29,13.68,192,0.16,1162,0.00,0.00,33.33,16,12.50,1.49,88,3.92,-11.03,1.30,0.00,0.00
15429,0.00,0.00,12.40,13.76,192,0.16,1160,0.00,0.00,33.33,16,13.00,1.49,88,3.92,-11.03,1.30,0.00,0.00
15686,0.00,0.00,12.29,13.76,192,0.16,1148,0.00,0.00,33.33,16,12.50,1.47,88,3.92,-11.03,1.30,0.00,0.00
15944,0.00,0.00,12.29,13.76,192,0.16,1152,0.00,0.00,33.33,16,11.50,1.48,88,3.92,-11.03,1.30,0.00,0.00
16200,0.00,0.00,12.29,13.76,192,0.16,1155,0.00,0.00,33.33,16,11.50,1.48,88,3.92,-11.03,1.30,0.00,0.00
16458,0.00,0.00,12.29,13.76,192,0.16,1165,0.00,0.00,33.33,16,10.50,1.49,88,3.92,-11.03,1.30,0.00,0.00
16715,0.00,0.00,12.40,13.76,192,0.16,1154,0.00,0.00,33.33,16,12.50,1.48,88,3.77,-11.17,1.30,0.00,0.00
