Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Knock Correction Advance (degrees)
0,0.00,0.00,12.06,13.36,181,0.19,1235,0.00,0.00,33.33,16,14.00,1.58,99,-11.03,1.34,0.00,0.00,0.00
258,0.00,0.00,12.06,13.44,181,0.19,1228,0.00,0.00,33.33,16,13.00,1.58,99,-11.03,1.34,0.00,0.00,0.00
516,0.00,0.00,12.06,13.52,181,0.19,1231,0.00,0.00,33.33,16,14.00,1.57,99,-11.03,1.34,0.00,0.00,0.00
773,0.00,0.00,12.06,13.60,181,0.20,1217,0.00,0.00,33.33,16,14.00,1.56,99,-11.03,1.34,0.00,0.00,0.00
1030,0.00,0.00,12.06,13.68,181,0.20,1215,0.00,0.00,33.33,16,14.00,1.57,99,-11.03,1.34,0.00,0.00,0.00
1287,0.00,0.00,12.17,13.60,181,0.20,1230,0.00,0.00,33.33,16,12.50,1.56,99,-11.03,1.34,0.00,0.00,0.00
1544,0.00,0.00,12.29,13.60,181,0.20,1220,0.00,0.00,33.33,16,13.50,1.57,99,-11.03,1.34,0.00,0.00,0.00
1802,0.00,0.00,12.17,13.68,181,0.19,1225,0.00,0.00,33.33,16,13.00,1.57,99,-11.03,1.34,0.00,0.00,0.00
2058,0.00,0.00,12.29,13.68,181,0.20,1221,0.00,0.00,33.33,16,13.00,1.56,99,-11.03,1.34,0.00,0.00,0.00
2315,0.00,0.00,12.29,13.60,181,0.20,1210,0.00,0.00,33.33,16,14.00,1.55,99,-10.88,1.34,0.00,0.00,0.00
