Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-25.00,0.00,14.13,13.92,176,0.30,834,100.00,13.50,1.41,99,5.51,-9.29,1.28,0.00,5.49
227,-25.00,0.00,14.13,13.92,176,0.32,823,100.00,14.00,1.40,99,5.51,-9.14,1.30,0.00,5.88
453,-25.00,0.00,14.24,14.00,176,0.33,818,100.00,14.00,1.39,99,5.66,-9.00,1.28,0.00,5.88
679,-25.00,0.00,14.24,14.00,176,0.33,834,100.00,12.50,1.42,99,5.66,-9.00,1.28,0.00,5.88
904,-25.00,0.00,14.36,14.00,176,0.31,838,100.00,12.00,1.45,99,5.66,-9.00,1.28,0.00,5.88
1130,-25.00,0.00,14.24,14.00,176,0.32,839,100.00,12.00,1.44,99,5.66,-9.00,1.30,0.00,5.88
1356,-25.00,0.00,14.36,14.08,176,0.32,836,100.00,12.00,1.43,99,5.66,-9.00,1.26,0.00,5.88
1582,-25.00,0.00,14.36,13.92,176,0.32,846,100.00,11.50,1.43,99,5.66,-9.00,1.30,0.00,5.88
1808,-25.00,0.00,14.36,14.00,176,0.32,838,100.00,12.00,1.43,99,5.66,-9.00,1.30,0.00,5.88
2033,-24.22,0.00,14.47,14.00,176,0.32,846,100.00,11.50,1.44,99,5.66,-9.00,1.26,0.00,5.88
2260,-25.00,0.00,14.36,14.00,176,0.32,848,100.00,11.50,1.45,99,5.66,-9.00,1.30,0.00,5.88
2486,-25.00,0.00,14.47,14.00,176,0.33,840,100.00,12.00,1.46,99,5.66,-9.00,1.30,0.00,5.88
2712,-24.22,0.00,14.47,14.00,176,0.35,782,100.00,16.00,1.33,99,5.80,-8.85,1.28,0.00,5.88
2937,-23.44,0.00,14.81,14.00,176,0.33,832,100.00,12.00,1.42,99,5.95,-8.85,1.30,0.00,5.88
3163,-23.44,0.00,14.59,14.00,176,0.33,851,100.00,10.50,1.44,99,5.80,-8.85,1.30,0.00,5.88
3389,-24.22,0.00,14.47,14.00,176,0.32,866,100.00,9.00,1.46,99,5.80,-8.85,1.30,0.00,6.27
3615,-24.22,0.00,14.36,14.08,176,0.31,859,100.00,11.00,1.49,99,5.80,-8.85,1.30,0.00,6.27
3841,-24.22,0.00,14.36,14.00,176,0.33,857,100.00,11.00,1.47,99,5.80,-8.85,1.30,0.00,6.27
