Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-13.28,-2.34,14.01,13.60,183,0.66,1281,0.00,0.00,33.33,16,26.00,2.19,88,0.00,-6.82,1.80,0.00,7.06
257,-12.50,-2.34,14.36,13.76,183,0.73,1233,0.00,0.00,33.33,16,25.50,2.37,88,0.00,-6.09,1.82,0.00,7.06
514,-14.84,-2.34,14.36,13.76,183,0.76,1260,0.00,0.00,33.33,16,7.00,2.42,88,0.00,-5.51,1.84,0.00,7.84
771,-16.41,-2.34,14.24,13.28,183,0.84,1217,0.00,0.00,33.33,16,26.00,2.34,88,0.00,-5.22,1.84,0.00,8.24
1028,-17.97,-2.34,14.70,13.52,183,0.85,1236,0.00,0.00,33.33,16,4.00,2.37,88,0.00,-4.64,1.86,0.00,8.24
1285,-18.75,-2.34,14.70,13.60,183,0.80,1389,0.00,0.00,33.33,16,4.50,2.67,88,1.00,-4.79,1.88,0.00,8.63
1542,-18.75,-2.34,14.70,13.84,183,0.81,1520,0.00,-1.05,33.33,16,4.50,2.87,88,1.00,-4.93,1.92,0.00,9.41
1799,-19.53,-2.34,14.93,13.84,183,0.83,1654,0.00,-1.05,33.33,16,-14.50,2.99,88,1.50,-5.08,1.94,0.00,9.80
2056,-21.88,-2.34,14.59,13.84,183,0.79,1707,0.00,-1.05,33.33,16,6.00,3.28,88,2.00,-5.37,1.96,0.00,9.80
2313,-21.88,-2.34,14.70,13.84,183,0.82,1783,0.00,0.00,33.33,16,-10.50,3.42,88,3.50,-5.66,2.00,0.00,10.20
2569,-22.66,-2.34,14.59,13.92,183,0.81,1898,0.00,0.00,33.33,16,7.00,3.24,88,3.50,-5.95,2.02,0.00,10.20
2827,-22.66,-2.34,14.70,13.84,183,0.82,1980,0.00,0.00,33.33,16,32.00,3.38,88,4.00,-5.95,2.04,0.00,10.20
3083,-25.00,-2.34,14.59,13.84,183,0.82,2129,0.00,0.00,33.33,16,11.00,3.63,88,4.00,-6.09,2.08,0.00,10.98
3341,-25.00,-2.34,14.47,13.84,183,0.88,2264,0.00,0.00,33.33,16,30.50,4.35,88,4.50,-5.95,2.12,0.00,12.16
3598,-25.00,-2.34,14.36,13.76,183,0.89,2364,0.00,0.00,33.33,16,33.00,4.54,88,4.50,-5.80,2.16,0.39,12.55
3855,-25.00,-2.34,14.24,13.84,183,0.89,2417,0.00,0.00,33.33,16,30.50,4.64,88,4.50,-5.95,2.20,0.39,12.55
4113,-25.00,-2.34,14.13,13.60,183,0.89,2464,0.00,0.00,33.33,16,11.50,4.73,88,4.50,-6.09,2.22,0.78,12.94
4370,-25.00,-2.34,14.47,13.60,183,0.85,2602,0.00,0.00,33.33,16,8.00,5.00,88,4.50,-6.24,2.22,0.78,12.94
4627,-25.00,-2.34,14.47,13.60,183,0.84,2672,0.00,0.00,33.33,16,32.00,5.13,88,4.00,-6.38,2.22,0.78,13.33
4884,-25.00,-3.12,14.36,13.68,183,0.84,2704,0.00,0.00,33.33,16,30.50,5.20,88,4.00,-6.53,2.26,1.18,13.33
5141,-25.00,-3.12,14.70,13.52,183,0.84,2778,0.00,0.00,66.67,16,8.00,5.29,88,4.00,-6.53,2.28,1.57,13.73
5398,-25.00,-3.12,14.47,13.68,183,0.80,2943,0.00,0.00,66.67,16,29.50,5.02,88,3.50,-6.38,2.28,1.57,13.73
5656,-25.00,-3.12,14.70,13.68,183,0.85,2861,0.00,0.00,66.67,16,8.00,5.49,88,4.00,-6.24,2.30,1.96,14.12
5913,-25.00,-3.12,14.81,13.68,185,0.81,3065,0.00,0.00,66.67,16,29.50,5.23,88,3.50,-6.38,2.32,2.35,14.12
6171,-22.66,-3.12,15.39,13.68,185,0.79,3208,0.00,0.00,66.67,16,33.00,6.16,88,3.50,-6.24,2.34,2.35,14.51
6428,-24.22,-3.12,14.70,13.68,185,0.82,3080,0.00,0.00,66.67,16,-10.50,5.91,88,3.50,-5.95,2.34,2.35,14.51
6686,-25.00,-3.12,15.16,13.68,185,0.82,3154,0.00,0.00,66.67,16,29.50,5.38,88,3.50,-6.09,2.36,2.75,14.51
6943,-25.00,-3.12,14.81,13.76,185,0.77,3377,0.00,0.00,66.67,16,33.00,5.76,88,3.50,-6.09,2.36,2.75,14.51
7201,-25.00,-3.12,14.70,13.52,185,0.81,3340,0.00,0.00,66.67,16,33.50,5.70,88,3.50,-5.95,2.36,2.75,14.51
7458,-25.00,-3.12,14.81,13.44,185,0.81,3394,0.00,0.00,66.67,16,10.50,5.79,88,3.50,-6.09,2.38,3.14,14.90
7715,-25.00,-3.12,14.81,13.52,185,0.82,3436,0.00,0.00,66.67,16,33.00,5.86,88,3.50,-6.09,2.38,3.14,15.29
7971,-25.00,-3.12,14.70,13.60,185,0.81,3524,0.00,0.00,66.67,16,7.50,6.01,88,3.50,-6.24,2.42,3.53,15.29
8229,-23.44,-3.12,14.81,13.60,185,0.80,3618,0.00,0.00,66.67,16,7.50,6.17,88,3.50,-6.24,2.44,3.53,15.29
