Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Global Timing User Adjustment Value (degrees),Ignition Base Timing* (degrees)
0,-21.88,-0.78,13.67,13.36,190,0.20,1241,0.00,0.00,33.33,16,41.50,1.59,81,0.00,-10.74,1.34,0.00,1.18,0,29.57
275,-21.88,-0.78,13.78,12.88,190,0.19,1394,0.00,0.00,33.33,16,26.00,1.78,81,0.00,-11.03,1.34,0.00,1.18,0,32.73
549,0.00,-0.78,13.55,13.44,190,0.18,1452,0.00,0.00,33.33,16,26.00,1.86,81,0.00,-11.32,1.34,0.00,1.18,0,26.41
824,0.00,-0.78,12.63,13.60,190,0.18,1436,0.00,0.00,33.33,16,26.00,1.53,81,0.00,-11.17,1.34,0.00,1.18,0,26.41
1099,0.00,-0.78,12.06,13.60,190,0.19,1423,0.00,0.00,33.33,16,26.00,1.52,81,0.00,-11.17,1.34,0.00,1.57,0,26.41
1374,0.00,-0.78,12.06,13.68,190,0.20,1423,0.00,0.00,33.33,16,34.00,1.52,81,0.00,-11.17,1.36,0.00,1.96,0,29.57
1649,-2.34,-1.56,12.29,13.60,190,0.31,1346,0.00,0.00,33.33,16,28.50,1.73,81,0.00,-10.88,1.44,0.00,2.75,0,26.41
1923,-13.28,-2.34,12.63,13.60,190,0.36,1283,0.00,0.00,33.33,16,26.00,1.64,81,0.00,-10.30,1.50,0.00,3.53,0,32.73
2198,-15.62,-3.12,13.67,13.60,190,0.45,1220,0.00,0.00,33.33,16,31.00,1.56,82,0.00,-9.72,1.56,0.00,4.31,0,26.41
2472,-15.62,-3.91,14.59,13.52,190,0.49,1155,0.00,0.00,33.33,16,40.50,1.73,82,0.00,-8.85,1.58,0.00,4.31,0,26.41
2747,-16.41,-4.69,14.70,13.52,190,0.59,1018,0.00,0.00,33.33,16,38.50,1.52,82,0.00,-7.98,1.60,0.00,4.71,0,26.41
3021,-17.97,-5.47,14.59,13.60,190,0.63,948,0.00,0.00,33.33,16,30.50,1.42,82,0.00,-7.11,1.60,0.00,4.71,0,40.12
3296,-16.41,-5.47,14.93,13.60,190,0.59,992,0.00,0.00,33.33,16,24.00,1.48,82,0.00,-6.67,1.60,0.00,4.71,0,26.41
3570,-8.59,-7.81,16.31,13.60,190,0.15,1632,0.00,0.00,33.33,16,25.50,1.74,82,0.00,-8.42,1.28,0.00,0.00,0,35.90
3844,0.00,-6.25,16.08,13.52,190,0.10,1748,0.00,0.00,33.33,16,18.00,1.86,82,0.00,-11.90,1.22,0.00,0.00,0,17.27
4119,0.00,-5.47,14.59,13.44,190,0.13,1460,0.00,0.00,33.33,16,13.00,1.56,82,0.00,-12.04,1.22,0.00,0.00,0,13.05
4393,0.00,-4.69,13.32,13.52,190,0.15,1229,0.00,0.00,33.33,16,21.00,1.31,82,0.00,-11.75,1.22,0.00,0.00,0,13.05
4668,0.00,-3.91,12.29,13.52,190,0.17,1058,0.00,0.00,33.33,16,21.00,1.18,82,0.00,-11.61,1.24,0.00,0.00,0,13.05
4943,0.00,-3.91,11.83,13.68,190,0.18,994,0.00,0.00,33.33,16,21.00,1.06,82,0.00,-11.32,1.22,0.00,0.00,0,13.05
5217,-7.03,-3.12,11.71,13.68,190,0.18,1000,0.00,0.00,33.33,16,21.00,1.07,84,0.00,-11.17,1.22,0.00,0.00,0,13.05
5492,-12.50,-3.12,11.71,13.60,190,0.18,1014,0.00,0.00,33.33,16,18.00,1.08,84,0.00,-11.03,1.22,0.00,0.00,0,13.05
5766,-17.97,-0.78,11.83,13.52,190,0.18,1028,0.00,0.00,33.33,16,15.50,1.10,84,0.00,-11.17,1.22,0.00,0.00,0,13.05
6041,-22.66,-0.78,11.94,13.52,190,0.18,1017,0.00,0.00,33.33,16,15.50,1.08,84,0.00,-11.17,1.22,0.00,0.00,0,13.05
6315,-23.44,-0.78,12.06,13.60,190,0.19,1016,0.00,0.00,33.33,16,15.50,1.08,84,0.00,-11.03,1.24,0.00,0.00,0,13.05
6589,-22.66,-0.78,12.17,13.60,190,0.21,1006,0.00,0.00,33.33,16,14.00,1.07,84,0.00,-11.03,1.28,0.00,0.78,0,13.05
6864,-22.66,-0.78,12.17,13.68,190,0.24,1071,0.00,0.00,33.33,16,32.00,1.14,84,0.00,-10.59,1.34,0.00,1.18,0,29.57
7138,-22.66,-0.78,12.40,13.68,190,0.26,1191,0.00,0.00,33.33,16,26.00,1.27,84,0.00,-10.45,1.38,0.00,2.35,0,29.92
7413,-22.66,-1.56,13.67,13.68,190,0.32,1320,0.00,0.00,33.33,16,26.00,1.39,84,0.00,-10.30,1.44,0.00,2.75,0,40.12
7687,-21.09,-2.34,14.81,13.52,190,0.32,1384,0.00,0.00,33.33,16,41.00,1.48,84,0.00,-10.30,1.48,0.00,3.14,0,33.44
