Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Ignition Base Timing* (degrees)
0,-21.88,0.78,13.67,13.12,169,0.20,834,0.00,0.00,33.33,16,11.00,1.07,82,0.00,-10.45,1.22,0.00,0.00,13.05
266,-21.88,0.78,13.67,12.80,169,0.20,829,0.00,0.00,33.33,16,12.50,1.06,82,0.00,-10.45,1.22,0.00,0.00,13.05
531,-21.88,0.78,13.90,12.88,171,0.21,814,0.00,0.00,33.33,16,14.00,1.04,82,0.00,-10.45,1.22,0.00,0.00,13.05
796,-21.88,0.78,13.90,13.04,171,0.21,813,0.00,0.00,33.33,16,14.00,1.04,82,0.00,-10.45,1.24,0.00,0.00,13.05
1062,-21.88,0.78,13.78,13.28,171,0.21,817,0.00,0.00,33.33,16,13.50,1.05,82,0.00,-10.45,1.24,0.00,0.00,13.05
1328,-21.88,0.78,13.67,13.52,171,0.21,822,0.00,0.00,33.33,16,12.50,0.88,82,0.00,-10.30,1.22,0.00,0.00,13.05
1593,-21.88,0.78,13.67,13.52,171,0.21,828,0.00,0.00,33.33,16,13.00,0.88,82,0.00,-10.30,1.22,0.00,0.00,13.05
1859,-21.88,0.78,13.67,13.44,171,0.21,805,0.00,0.00,33.33,16,14.00,0.86,82,0.00,-10.30,1.22,0.00,0.00,13.05
2124,-21.88,0.78,13.67,13.44,171,0.21,809,0.00,0.00,33.33,16,13.00,0.86,82,0.00,-10.30,1.22,0.00,0.00,13.05
2389,-21.88,0.78,14.01,13.44,171,0.21,813,0.00,0.00,33.33,16,13.00,0.87,81,0.00,-10.30,1.22,0.00,0.00,13.05
