Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Knock Correction Advance (degrees),Knock Correction Advance (IAM only)* (degrees)
0,6.25,5.47,15.50,13.52,172,0.35,892,0.00,0.00,33.33,0,4.50,1.33,109,7.84,-6.96,1.40,0.00,0.00,0.00,0.00
273,7.81,5.47,15.62,13.60,172,0.35,912,0.00,0.00,33.33,0,4.50,1.36,109,7.69,-6.96,1.44,0.00,0.00,0.00,0.00
547,10.16,5.47,16.31,13.68,172,0.34,932,0.00,0.00,33.33,0,4.50,1.39,109,7.55,-7.11,1.46,0.00,0.00,0.00,0.00
821,10.16,5.47,15.73,13.60,172,0.33,951,0.00,0.00,33.33,0,4.50,1.42,109,7.40,-7.25,1.44,0.00,0.00,0.00,0.00
1095,10.16,5.47,15.39,13.60,172,0.35,923,0.00,0.00,33.33,0,8.00,1.38,109,7.40,-7.25,1.44,0.00,0.00,0.00,0.00
1369,9.38,5.47,14.70,13.68,172,0.31,972,0.00,0.00,33.33,0,5.50,1.45,109,7.25,-7.40,1.42,0.00,0.00,0.00,0.00
1643,8.59,5.47,14.47,13.68,172,0.31,994,0.00,0.00,33.33,0,5.00,1.48,109,6.96,-7.55,1.42,0.00,0.00,0.00,0.00
1918,7.81,5.47,14.36,13.44,172,0.31,1005,0.00,0.00,33.33,0,6.00,1.50,109,6.82,-7.84,1.44,0.00,0.00,0.00,0.00
2192,7.03,5.47,14.36,13.28,172,0.33,999,0.00,0.00,33.33,0,8.00,1.49,109,6.67,-7.98,1.42,0.00,0.00,0.00,0.00
2466,6.25,5.47,14.47,13.28,172,0.31,1008,0.00,0.00,33.33,0,8.50,1.31,109,6.67,-7.98,1.40,0.00,0.00,0.00,0.00
2741,4.69,5.47,14.24,13.28,172,0.29,1034,0.00,0.00,33.33,0,7.50,1.32,109,6.53,-8.13,1.40,0.00,0.00,0.00,0.00
3015,3.12,5.47,14.13,13.36,172,0.29,1012,0.00,0.00,33.33,0,11.00,1.30,109,6.38,-8.13,1.42,0.00,0.00,0.00,0.00
3289,2.34,5.47,14.13,13.52,172,0.28,1036,0.00,0.00,33.33,0,9.50,1.33,109,6.38,-8.27,1.40,0.00,0.00,0.00,0.00
3562,2.34,5.47,14.59,13.52,172,0.28,1036,0.00,0.00,33.33,0,10.50,1.33,109,6.24,-8.42,1.42,0.00,0.00,0.00,0.00
3837,2.34,5.47,14.70,13.36,172,0.28,1037,0.00,0.00,33.33,0,10.00,1.33,109,6.24,-8.42,1.36,0.00,0.00,0.00,0.00
4111,2.34,5.47,14.81,13.36,172,0.27,1016,0.00,0.00,33.33,0,12.50,1.30,109,5.95,-8.71,1.34,0.00,0.00,0.00,0.00
4385,2.34,5.47,14.81,13.36,172,0.28,1008,0.00,0.00,33.33,0,13.00,1.29,109,5.95,-8.71,1.34,0.00,0.00,0.00,0.00
4659,2.34,5.47,14.81,13.36,172,0.26,993,0.00,0.00,33.33,0,14.00,1.27,109,5.80,-8.85,1.34,0.00,0.00,0.00,0.00
4933,3.12,5.47,14.93,13.68,172,0.24,974,0.00,0.00,33.33,0,15.50,1.25,109,5.66,-9.00,1.30,0.00,0.00,0.00,0.00
5208,2.34,5.47,14.81,13.36,172,0.25,928,0.00,0.00,33.33,0,19.50,1.19,109,5.66,-9.00,1.30,0.00,0.00,0.00,0.00
5482,3.12,5.47,14.93,13.36,172,0.23,954,0.00,0.00,33.33,0,15.50,1.21,109,5.51,-9.14,1.28,0.00,0.00,0.00,0.00
5756,2.34,5.47,14.70,13.36,172,0.25,939,0.00,0.00,33.33,0,16.00,1.20,109,5.51,-9.14,1.28,0.00,0.00,0.00,0.00
6030,1.56,5.47,14.59,13.44,172,0.25,915,0.00,0.00,33.33,0,17.50,1.17,109,5.51,-9.14,1.28,0.00,0.00,0.00,0.00
6304,0.00,5.47,14.36,13.20,172,0.25,897,0.00,0.00,33.33,0,18.50,1.15,109,5.51,-9.14,1.28,0.00,0.00,0.00,0.00
6578,-0.78,5.47,14.13,13.20,172,0.26,870,0.00,0.00,33.33,0,19.50,1.11,109,5.51,-9.14,1.26,0.00,0.00,0.00,0.00
6853,-1.56,5.47,14.36,13.44,172,0.23,893,0.00,0.00,33.33,0,15.50,1.10,109,5.51,-9.14,1.28,0.00,0.00,0.00,0.00
7127,-1.56,5.47,14.47,13.52,174,0.25,835,0.00,0.00,33.33,0,20.00,1.07,109,5.66,-9.00,1.30,0.00,0.00,0.00,0.00
7401,-1.56,5.47,14.59,13.52,174,0.26,828,0.00,0.00,33.33,0,19.50,1.06,109,5.51,-9.14,1.28,0.00,0.00,0.00,0.00
7676,-1.56,5.47,14.81,13.28,174,0.25,818,0.00,0.00,33.33,0,19.00,1.05,109,5.80,-8.85,1.28,0.00,0.00,0.00,0.00
7949,-1.56,5.47,14.70,13.28,174,0.23,826,0.00,0.00,33.33,0,16.50,1.06,109,5.66,-9.00,1.26,0.00,0.00,0.00,0.00
8224,-1.56,5.47,14.70,13.20,174,0.24,768,0.00,0.00,33.33,0,21.00,0.98,109,5.80,-8.85,1.22,0.00,0.00,0.00,0.00
8497,-1.56,5.47,14.70,13.20,174,0.24,785,0.00,0.00,33.33,0,18.50,1.02,109,5.80,-8.85,1.20,0.00,0.00,0.00,0.00
8771,-2.34,5.47,14.70,13.12,174,0.24,744,0.00,0.00,33.33,0,21.00,0.95,109,5.66,-9.00,1.28,0.00,0.00,0.00,0.00
9045,-3.12,5.47,14.47,13.12,174,0.24,758,0.00,0.00,33.33,0,18.50,0.97,109,5.80,-9.00,1.20,0.00,0.00,0.00,0.00
9318,-3.12,5.47,14.70,13.28,174,0.24,738,0.00,0.00,33.33,0,21.00,0.94,109,5.80,-8.85,1.20,0.00,0.00,0.00,0.00
9592,-2.34,5.47,14.81,13.36,174,0.26,738,0.00,0.00,33.33,0,17.50,0.94,109,5.95,-8.71,1.22,0.00,0.00,0.00,0.00
9866,-2.34,5.47,14.70,13.36,174,0.23,723,0.00,0.00,33.33,0,18.00,0.93,109,5.95,-8.71,1.24,0.00,0.00,0.00,0.00
