Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.81,13.68,189,972,74.90,13.50,2.07,38,0.00,5.80,0.00,0,-8.85,5.00,0.00
61,14.81,13.60,189,974,74.90,13.50,2.08,38,0.00,5.80,0.00,0,-8.85,5.00,0.00
119,14.93,13.68,189,967,74.90,14.00,2.06,38,0.00,5.80,0.00,0,-8.85,5.04,0.00
181,14.93,13.60,189,969,74.90,14.00,2.07,38,0.00,5.80,0.00,0,-8.85,5.04,0.00
239,14.93,13.68,189,971,74.90,14.00,2.07,38,0.00,5.80,0.00,0,-8.85,5.04,0.00
298,14.81,13.60,189,974,74.90,13.50,2.08,38,0.00,5.80,0.00,0,-8.85,5.04,0.00
357,14.81,13.60,189,967,74.90,14.00,2.06,38,0.00,5.80,0.00,0,-8.85,5.00,0.00
415,14.81,13.68,189,972,74.90,14.00,2.06,38,0.00,5.80,0.00,0,-8.85,5.04,0.00
476,14.81,13.60,189,967,74.90,14.00,2.07,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
536,14.81,13.68,189,967,74.90,13.50,2.06,38,0.00,5.95,0.00,0,-8.71,5.07,0.00
595,14.93,13.52,189,973,74.90,14.00,2.08,38,0.00,5.95,0.00,0,-8.71,5.10,0.00
653,14.81,13.68,189,969,74.90,13.50,2.07,38,0.00,5.95,0.00,0,-8.71,5.10,0.00
714,14.93,13.52,189,973,74.90,13.50,2.08,38,0.00,5.95,0.00,0,-8.71,5.07,0.00
771,14.81,13.68,189,969,74.90,14.00,2.07,38,0.00,5.95,0.00,0,-8.71,5.07,0.00
831,14.81,13.60,189,978,74.90,13.00,2.09,38,0.00,5.95,0.00,0,-8.71,5.07,0.00
891,14.70,13.68,189,978,74.90,13.00,2.09,38,0.00,5.95,0.00,0,-8.71,5.07,0.00
949,14.70,13.68,189,971,74.90,13.00,2.07,38,0.00,5.95,0.00,0,-8.71,5.04,0.00
1008,14.70,13.60,189,976,74.90,13.00,2.08,38,0.00,5.95,0.00,0,-8.71,5.10,0.00
1069,14.70,13.68,189,968,74.90,14.00,2.08,38,0.00,5.80,0.00,0,-8.85,5.10,0.00
1127,14.81,13.60,189,968,74.90,14.00,2.07,38,0.00,5.95,0.00,0,-8.71,5.10,0.00
1188,14.81,13.68,189,972,74.90,14.00,2.07,38,0.00,5.95,0.00,0,-8.71,5.10,0.00
1246,14.81,13.60,189,970,74.90,14.00,2.07,38,0.00,5.95,0.00,0,-8.71,5.10,0.00
1307,14.81,13.68,189,972,74.90,14.00,2.07,38,0.00,5.95,0.00,0,-8.71,5.07,0.00
1366,14.93,13.60,189,976,74.90,13.50,2.08,38,0.00,5.95,0.00,0,-8.71,5.07,0.00
1424,14.81,13.68,189,979,74.90,13.00,2.09,38,0.00,5.95,0.00,0,-8.71,5.10,0.00
1483,14.81,13.60,189,983,74.90,13.00,2.10,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
1543,14.81,13.68,189,985,74.90,12.50,2.10,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
1602,14.81,13.68,189,982,74.90,13.00,2.09,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
1661,14.81,13.60,189,982,74.90,13.00,2.09,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
1720,14.93,13.68,189,977,74.90,13.50,2.09,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
1780,14.81,13.68,189,977,74.90,13.50,2.08,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
1839,14.93,13.68,189,978,74.90,13.00,2.09,38,0.00,5.80,0.00,0,-8.85,5.13,0.00
1898,14.93,13.68,189,983,74.90,12.50,2.10,38,0.00,5.80,0.00,0,-8.85,5.10,0.00
1964,14.93,13.68,189,981,74.90,12.50,2.09,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
2019,14.81,13.68,189,985,74.90,13.00,2.10,38,0.00,5.80,0.00,0,-8.85,5.04,0.00
2077,14.93,13.68,189,977,74.90,14.00,2.08,38,0.00,5.80,0.00,0,-8.85,5.04,0.00
2135,14.81,13.68,189,974,74.90,14.00,2.08,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
2196,14.93,13.68,189,972,74.90,14.00,2.07,38,0.00,5.80,0.00,0,-8.85,5.10,0.00
2254,14.93,13.68,189,979,74.90,13.50,2.09,38,0.00,5.80,0.00,0,-8.85,5.10,0.00
2312,14.81,13.68,189,980,74.90,13.50,2.09,38,0.00,5.80,0.00,0,-8.85,5.10,0.00
2372,14.81,13.68,189,980,74.90,13.00,2.09,38,0.00,5.80,0.00,0,-8.85,5.10,0.00
2431,14.93,13.76,189,988,74.90,7.00,2.11,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
2493,14.81,13.68,189,998,74.90,7.00,2.13,38,0.00,5.80,0.00,0,-8.85,5.07,0.00
2550,14.93,13.68,189,1017,74.90,7.00,2.17,38,0.00,5.80,0.00,0,-8.85,5.16,0.00
2610,14.81,13.68,189,1023,74.90,7.00,2.18,38,0.00,5.80,0.00,0,-8.85,5.10,0.00
2669,14.93,13.76,189,1040,74.90,7.00,2.00,38,0.00,5.66,0.00,0,-9.00,5.00,0.00
2727,14.93,13.68,189,1051,74.90,7.00,2.02,38,0.00,5.66,0.00,0,-9.00,4.91,0.00
2787,14.93,13.68,189,1053,74.90,7.50,2.02,38,0.00,5.51,0.00,0,-9.14,4.88,0.00
2846,14.93,13.68,189,1070,74.90,6.50,2.05,38,0.00,5.37,0.00,0,-9.29,4.75,0.00
2906,15.04,13.68,189,1071,74.90,7.00,2.06,38,0.00,5.22,0.00,0,-9.43,4.72,0.00
2965,15.04,13.68,189,1077,74.90,6.50,2.06,38,0.00,5.22,0.00,0,-9.43,4.75,0.00
3024,15.16,13.68,189,1077,74.90,8.00,2.07,38,0.00,5.22,0.00,0,-9.43,4.75,0.00
3083,15.04,13.76,189,1067,74.90,9.00,2.05,38,0.00,5.22,0.00,0,-9.43,4.79,0.00
3143,15.39,13.68,189,1065,74.90,8.50,2.04,38,0.00,5.08,0.00,0,-9.58,4.79,0.00
3203,15.27,13.68,189,1070,74.90,8.50,2.05,38,0.00,5.08,0.00,0,-9.58,4.75,0.00
3263,15.39,13.68,189,1064,74.90,9.50,2.04,38,0.00,5.08,0.00,0,-9.58,4.69,0.00
3321,15.50,13.68,189,1080,74.90,8.00,2.07,38,0.00,5.08,0.00,0,-9.58,4.66,0.00
3379,15.39,13.60,189,1077,74.90,9.00,2.07,38,0.00,5.08,0.00,0,-9.58,4.63,0.00
3438,15.50,13.68,189,1081,74.90,9.00,2.08,38,0.00,4.93,0.00,0,-9.72,4.53,0.00
3498,15.50,13.68,189,1084,74.90,9.00,2.08,38,0.00,4.93,0.00,0,-9.72,4.50,0.00
