Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Fine Learning Knock Correction* (degrees)
0,14.59,13.68,192,856,74.90,13.00,1.64,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.00
62,14.59,13.60,192,854,74.90,13.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.67,0.00,0.00
124,14.59,13.68,192,852,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
185,14.59,13.60,192,844,74.90,14.50,1.62,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.00
246,14.59,13.68,192,838,74.90,15.00,1.61,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
308,14.59,13.68,192,840,74.90,15.00,1.61,46,0.00,4.93,0.00,0,-9.72,3.85,0.00,0.00
370,14.59,13.68,192,846,74.90,14.00,1.62,46,0.00,4.93,0.00,0,-9.72,3.85,0.00,0.00
431,14.59,13.60,192,846,74.90,14.00,1.62,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
493,14.59,13.68,192,847,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
555,14.59,13.60,192,848,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
617,14.59,13.60,192,854,74.90,13.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
678,14.59,13.68,192,857,74.90,13.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
739,14.47,13.68,192,857,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
801,14.47,13.68,192,858,74.90,12.50,1.65,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
862,14.47,13.60,192,860,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
924,14.47,13.60,192,855,74.90,13.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
985,14.47,13.60,192,850,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
1047,14.47,13.60,192,849,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
1108,14.47,13.60,192,853,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
1170,14.47,13.68,192,849,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
1232,14.47,13.68,192,855,74.90,13.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
1293,14.47,13.60,192,851,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
1354,14.47,13.60,192,855,74.90,13.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
1416,14.47,13.60,192,854,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
1478,14.47,13.60,192,859,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
1540,14.47,13.60,192,855,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
1601,14.47,13.60,192,860,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
1663,14.47,13.60,192,853,74.90,14.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
1725,14.47,13.60,192,852,74.90,14.00,1.64,46,0.00,4.79,0.00,0,-9.87,3.80,0.00,0.00
1786,14.47,13.60,192,852,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
1847,14.47,13.60,192,855,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
1908,14.47,13.60,192,852,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
1969,14.47,13.60,192,859,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
2031,14.47,13.60,192,854,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
2093,14.47,13.60,192,852,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
2153,14.59,13.60,192,840,74.90,15.00,1.61,46,0.00,4.93,0.00,0,-9.72,3.83,0.00,0.00
2215,14.47,13.60,192,846,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.85,0.00,0.00
2278,14.59,13.60,192,850,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.85,0.00,0.00
2340,14.59,13.60,192,855,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
2402,14.59,13.60,192,853,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
2463,14.59,13.60,192,856,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
2524,14.59,13.68,192,849,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
2585,14.47,13.60,192,855,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
2648,14.59,13.76,192,858,74.90,13.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.83,0.00,0.00
2709,14.59,13.60,192,858,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
2769,14.59,13.68,192,855,74.90,13.50,1.65,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
2832,14.59,13.60,192,855,74.90,15.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
2894,14.59,13.68,192,843,74.90,14.00,1.62,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
2956,14.59,13.60,192,847,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.88,0.00,0.00
3017,14.59,13.68,192,849,74.90,15.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.83,0.00,0.00
3079,14.59,13.68,192,847,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.85,0.00,0.00
3140,14.59,13.60,192,852,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3202,14.59,13.68,192,858,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
3264,14.59,13.60,192,855,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
3325,14.59,13.68,192,856,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3386,14.70,13.60,192,851,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3448,14.59,13.68,192,854,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3511,14.59,13.60,192,857,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3573,14.70,13.68,192,862,74.90,13.00,1.66,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
