Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Engine Load*  (g/rev)
0,14.70,13.60,190,945,74.90,14.00,1.61,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.23
65,14.81,13.60,190,946,74.90,14.00,1.61,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.23
127,14.70,13.68,190,949,74.90,13.50,1.62,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.23
192,14.70,13.60,190,953,74.90,13.50,1.63,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.23
255,14.81,13.60,190,954,74.90,13.00,1.63,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.23
319,14.70,13.60,190,947,74.90,14.00,1.62,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
383,14.81,13.60,190,949,74.90,13.50,1.62,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
448,14.70,13.60,190,946,74.90,14.00,1.61,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
511,14.70,13.60,190,952,74.90,13.00,1.62,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.23
575,14.70,13.60,190,952,74.90,13.00,1.63,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.23
639,14.70,13.60,190,951,74.90,13.50,1.62,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
703,14.70,13.60,190,946,74.90,14.00,1.62,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
767,14.70,13.68,190,948,74.90,14.00,1.62,46,0.00,4.79,0.00,0,-9.87,3.65,0.00,0.23
830,14.70,13.52,190,948,74.90,14.00,1.62,46,0.00,4.79,0.00,0,-9.87,3.67,0.00,0.23
894,14.81,13.52,190,947,74.90,14.00,1.62,46,0.00,4.79,0.00,0,-9.87,3.67,0.00,0.23
959,14.70,13.60,190,945,74.90,14.00,1.61,46,0.00,4.64,0.00,0,-10.01,3.65,0.00,0.23
1022,14.81,13.60,190,952,74.90,13.00,1.63,46,0.00,4.79,0.00,0,-9.87,3.65,0.00,0.23
1086,14.81,13.60,190,944,74.90,14.00,1.61,46,0.00,4.64,0.00,0,-10.01,3.65,0.00,0.23
1149,14.81,13.52,190,928,74.90,14.50,1.61,46,0.00,4.64,0.00,0,-10.01,3.65,0.00,0.24
1214,14.70,13.60,190,936,74.90,14.50,1.58,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
1277,14.81,13.52,190,930,74.90,15.50,1.60,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
1340,14.70,13.60,190,933,74.90,14.50,1.59,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
1406,14.81,13.52,190,935,74.90,14.50,1.59,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
1469,14.70,13.60,190,941,74.90,14.00,1.60,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
1532,14.70,13.60,190,939,74.90,14.00,1.61,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
1597,14.70,13.68,190,943,74.90,13.50,1.60,46,0.00,4.79,0.00,0,-9.87,3.67,0.00,0.23
1659,14.81,13.52,190,938,74.90,14.00,1.61,46,0.00,4.79,0.00,0,-9.87,3.65,0.00,0.23
1724,14.70,13.60,190,942,74.90,14.00,1.60,46,0.00,4.79,0.00,0,-9.87,3.65,0.00,0.23
1788,14.81,13.60,190,938,74.90,14.00,1.61,46,0.00,4.79,0.00,0,-9.87,3.67,0.00,0.24
1852,14.70,13.60,190,946,74.90,13.50,1.60,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.23
1917,14.70,13.60,190,942,74.90,14.00,1.61,46,0.00,4.79,0.00,0,-9.87,3.67,0.00,0.23
1979,14.70,13.68,190,939,74.90,14.00,1.61,47,0.00,4.79,0.00,0,-9.87,3.65,0.00,0.23
2043,14.81,13.60,190,934,74.90,14.00,1.60,47,0.00,4.79,0.00,0,-9.87,3.65,0.00,0.24
2107,14.70,13.60,190,938,74.90,14.50,1.59,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.24
