Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.70,13.52,189,935,74.90,14.50,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
68,14.81,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
137,14.70,13.52,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
206,14.81,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
275,14.70,13.60,189,940,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
343,14.81,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.88,0.00
410,14.70,13.52,189,936,74.90,13.50,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.88,0.00
479,14.81,13.60,189,934,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.88,0.00
547,14.70,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.29,0.0,-8.71,4.88,0.00
616,14.70,13.60,189,939,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.88,0.00
685,14.81,13.60,189,938,74.90,13.00,2.00,45,0.00,5.80,0.00,0,0.31,0.0,-8.85,4.88,0.00
754,14.70,13.60,189,936,74.90,14.00,2.00,45,0.00,5.80,0.00,0,0.32,0.0,-8.71,4.85,0.00
821,14.81,13.60,189,934,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.85,4.91,0.00
890,14.70,13.60,189,934,74.90,14.00,1.99,45,0.00,5.80,0.00,0,0.32,0.0,-8.71,4.91,0.00
959,14.81,13.68,189,931,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
1027,14.70,13.68,189,933,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
1095,14.70,13.60,189,936,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
1164,14.70,13.60,189,935,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
1232,14.81,13.60,189,934,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.91,0.00
1300,14.70,13.68,189,929,74.90,14.00,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.88,0.00
1369,14.81,13.60,189,930,74.90,14.00,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
1439,14.70,13.60,189,930,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
1506,14.81,13.60,189,932,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
1575,14.70,13.60,189,936,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.94,0.00
1643,14.81,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
1711,14.70,13.60,189,936,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.94,0.00
1779,14.81,13.60,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
1847,14.70,13.60,189,939,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.91,0.00
1915,14.81,13.60,189,936,74.90,13.50,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
1985,14.70,13.60,189,934,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
2053,14.70,13.60,189,933,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
2122,14.81,13.60,189,934,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
2191,14.70,13.60,189,934,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
2259,14.81,13.60,189,934,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.94,0.00
2328,14.81,13.60,189,934,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.97,0.00
2396,14.81,13.52,189,938,74.90,13.50,2.00,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.88,0.00
2464,14.81,13.60,189,936,74.90,14.00,2.00,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.88,0.00
2533,14.81,13.52,189,929,74.90,14.50,2.00,45,0.00,5.80,0.00,0,0.31,0.0,-8.85,4.88,0.00
2601,14.81,13.60,189,926,74.90,15.00,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.88,0.00
2669,14.81,13.52,189,918,74.90,15.50,2.15,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
2740,14.81,13.60,189,920,74.90,15.50,2.16,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
2810,14.81,13.52,189,914,74.90,15.50,2.14,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
2875,14.81,13.60,189,918,74.90,15.50,1.96,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
2944,14.81,13.52,189,916,74.90,15.50,2.15,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
3013,14.81,13.60,189,920,74.90,15.00,1.96,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
3080,14.81,13.52,189,921,74.90,14.50,2.16,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3149,14.70,13.60,189,924,74.90,14.00,1.97,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
3218,14.81,13.60,189,923,74.90,14.00,2.17,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3286,14.70,13.60,189,922,74.90,14.00,1.97,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,4.97,0.00
3354,14.81,13.60,189,916,74.90,15.00,2.15,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3424,14.81,13.60,189,919,74.90,14.50,2.16,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3491,14.81,13.60,189,918,74.90,14.50,2.15,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3560,14.70,13.52,189,920,74.90,14.50,2.16,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
3628,14.70,13.60,189,920,74.90,14.00,2.16,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3697,14.70,13.52,189,924,74.90,14.00,1.97,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3767,14.59,13.52,189,927,74.90,13.50,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3835,14.59,13.52,189,928,74.90,13.50,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
3903,14.70,13.60,189,936,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
3971,14.59,13.52,189,933,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4039,14.81,13.60,189,930,74.90,13.50,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4108,14.70,13.52,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4176,14.81,13.60,189,934,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4244,14.70,13.52,189,934,74.90,13.00,2.19,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
4313,14.81,13.60,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4381,14.70,13.52,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4449,14.81,13.60,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4518,14.59,13.60,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4586,14.70,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
4655,14.59,13.60,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4723,14.70,13.60,189,934,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.00,0.00
4791,14.70,13.60,189,926,74.90,14.00,1.98,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.00,0.00
4860,14.81,13.60,189,928,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
4933,14.70,13.60,189,928,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
4996,14.70,13.60,189,928,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5067,14.81,13.60,189,929,74.90,13.50,2.18,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.00,0.00
5137,14.70,13.60,189,933,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5203,14.81,13.60,189,931,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5270,14.70,13.60,189,934,74.90,13.00,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5339,14.70,13.60,189,934,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
5408,14.59,13.60,189,936,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5476,14.70,13.60,189,932,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
5544,14.59,13.60,189,930,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
5612,14.70,13.52,189,930,74.90,13.50,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5682,14.59,13.60,189,930,74.90,13.50,2.18,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
5750,14.70,13.52,189,932,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5817,14.70,13.60,189,934,74.90,13.00,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.10,0.00
5887,14.81,13.44,189,932,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
5955,14.70,13.52,189,932,74.90,13.00,2.19,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
6025,14.81,13.52,189,932,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
6092,14.70,13.60,189,932,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
6160,14.70,13.44,189,932,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
6229,14.70,13.60,189,930,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
6299,14.70,13.52,189,929,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.10,0.00
6366,14.70,13.60,189,929,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
6436,14.81,13.52,189,931,74.90,14.00,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
6504,14.70,13.60,189,936,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
6572,14.59,13.60,189,931,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
