Time (msec),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Knock Count (Combined) (Knock Events),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
0,-3.91,14.81,13.76,167,0.26,914,0.00,13.00,1.76,106,0.00,0,5.08,-9.72,3.91,1.32,0.00,0.00,0.54,66.1377
82,-3.91,14.81,13.84,167,0.26,914,0.00,13.00,1.76,106,0.00,0,5.08,-9.72,3.91,1.32,0.00,0.00,0.54,66.1285
153,-3.91,14.81,13.76,167,0.26,914,0.00,13.00,1.57,106,0.00,0,5.08,-9.72,3.91,1.32,0.00,0.00,0.54,66.2018
229,-3.91,14.70,13.76,167,0.26,906,0.00,12.50,1.74,106,0.00,0,5.08,-9.72,3.91,1.32,0.00,0.00,0.54,66.0645
302,-3.91,14.81,13.76,167,0.29,907,0.00,14.00,1.74,106,0.00,0,5.08,-9.72,3.97,1.32,0.00,0.00,0.54,66.0980
375,-3.91,14.81,13.76,167,0.30,908,0.00,13.50,1.94,106,0.00,0,5.08,-9.72,4.46,1.38,0.00,0.00,0.54,66.3086
451,-3.91,14.93,13.84,167,0.30,916,0.00,12.50,1.95,106,0.00,0,5.22,-9.58,4.59,1.38,0.00,0.00,0.54,66.5222
528,-3.91,14.81,13.76,167,0.29,933,0.00,10.50,1.82,106,0.00,0,5.37,-9.43,4.66,1.38,0.00,0.00,0.54,66.9128
604,-3.91,14.70,13.84,167,0.28,950,0.00,9.50,1.85,106,0.00,0,5.37,-9.43,4.55,1.38,0.00,0.00,0.54,67.1906
678,-3.91,14.59,13.68,167,0.30,962,0.00,8.00,1.82,106,0.00,0,5.37,-9.43,4.59,1.36,0.00,0.00,0.54,67.2760
753,-3.91,14.47,13.68,167,0.31,917,0.00,10.00,1.96,106,0.00,0,5.37,-9.43,4.59,1.36,0.00,0.00,0.54,66.8945
829,-3.91,14.47,13.76,167,0.32,888,0.00,14.00,2.08,106,0.00,0,5.37,-9.43,4.70,1.36,0.00,0.00,0.54,66.5161
906,-3.91,14.24,13.68,167,0.33,881,0.00,16.50,1.88,106,0.00,0,5.51,-9.29,4.88,1.38,0.00,0.00,0.54,66.5466
979,-3.91,14.36,13.76,167,0.34,883,0.00,17.00,1.88,106,0.00,0,5.51,-9.29,4.91,1.40,0.00,0.00,0.54,66.6840
1054,-3.91,14.13,13.76,167,0.33,888,0.00,16.00,1.90,106,0.00,0,5.66,-9.14,4.96,1.40,0.00,0.00,0.54,66.9006
1130,-3.91,14.13,13.84,167,0.33,888,0.00,16.00,1.90,106,0.00,0,5.66,-9.14,4.88,1.40,0.00,0.00,0.54,67.1173
1205,-3.91,14.36,13.68,167,0.33,892,0.00,15.50,1.90,106,0.00,0,5.80,-9.00,4.85,1.40,0.00,0.00,0.54,67.0959
1281,-3.91,14.01,13.68,167,0.33,892,0.00,15.50,1.90,106,0.00,0,5.80,-9.00,4.85,1.40,0.00,0.00,0.54,67.1722
1356,-3.91,14.24,13.84,167,0.33,890,0.00,15.50,1.90,106,0.00,0,5.80,-9.00,4.85,1.40,0.00,0.00,0.54,67.1875
1431,-3.91,13.90,13.76,167,0.33,886,0.00,15.50,1.89,106,0.00,0,5.80,-9.00,4.81,1.40,0.00,0.00,0.54,67.1326
1514,-3.91,14.13,13.76,167,0.33,886,0.00,15.50,1.89,106,0.00,0,5.80,-9.00,4.85,1.40,0.00,0.00,0.54,67.1112
1581,-3.91,14.13,13.76,167,0.33,884,0.00,15.50,1.89,106,0.00,0,5.80,-9.00,4.85,1.38,0.00,0.00,0.54,67.1417
1657,-3.91,14.24,13.76,167,0.34,888,0.00,15.00,1.90,106,0.00,0,5.80,-9.00,4.91,1.38,0.00,0.00,0.54,67.1997
1732,-3.91,14.47,13.76,167,0.34,888,0.00,14.50,1.89,106,0.00,0,5.95,-8.85,4.96,1.38,0.00,0.00,0.54,67.2302
1807,-3.91,14.36,13.76,167,0.34,888,0.00,14.50,1.90,106,0.00,0,5.95,-8.85,4.96,1.38,0.00,0.00,0.54,67.3340
1889,-3.91,14.59,13.76,167,0.34,892,0.00,14.00,1.90,106,0.00,0,5.95,-8.85,4.99,1.38,0.00,0.00,0.54,67.4103
