Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.59,14.08,79,0.39,1412,100.00,6.50,3.59,27,0.00,6.24,0.00,0,-8.56,9.14,0.00
68,14.59,14.08,79,0.39,1408,100.00,7.00,3.61,27,0.00,6.24,0.00,0,-8.56,9.18,0.00
137,14.59,14.08,79,0.39,1404,100.00,7.50,3.59,27,0.00,6.24,0.00,0,-8.56,9.09,0.00
205,14.59,14.00,79,0.39,1406,100.00,7.00,3.60,27,0.00,6.24,0.00,0,-8.56,9.09,0.00
274,14.47,14.00,79,0.38,1410,100.00,7.00,3.61,27,0.00,6.24,0.00,0,-8.56,9.05,0.00
341,14.47,14.08,79,0.39,1401,100.00,8.00,3.59,27,0.00,6.24,0.00,0,-8.56,9.00,0.00
411,14.47,14.08,79,0.38,1406,100.00,7.00,3.60,27,0.00,6.24,0.00,0,-8.56,8.96,0.00
479,14.47,14.08,79,0.38,1399,100.00,8.00,3.58,27,0.00,6.24,0.00,0,-8.56,8.92,0.00
547,14.47,14.08,79,0.38,1404,100.00,7.00,3.59,27,0.00,6.24,0.00,0,-8.56,8.92,0.00
616,14.47,14.08,79,0.38,1391,100.00,8.50,3.56,27,0.00,6.24,0.00,0,-8.56,8.92,0.00
685,14.47,14.08,79,0.39,1396,100.00,8.00,3.57,27,0.00,6.24,0.00,0,-8.56,8.96,0.00
753,14.47,14.08,79,0.39,1392,100.00,8.00,3.56,27,0.00,6.24,0.00,0,-8.56,9.14,0.00
822,14.47,14.00,79,0.39,1399,100.00,7.00,3.58,27,0.00,6.38,0.00,0,-8.42,9.14,0.00
890,14.47,14.00,79,0.39,1389,100.00,8.00,3.56,27,0.00,6.38,0.00,0,-8.42,9.14,0.00
959,14.47,14.08,79,0.39,1397,100.00,7.00,3.56,27,0.00,6.38,0.00,0,-8.42,9.18,0.00
1027,14.47,14.08,79,0.40,1391,100.00,8.00,3.57,27,0.00,6.38,0.00,0,-8.42,9.22,0.00
1096,14.47,14.08,79,0.40,1396,100.00,7.00,3.56,27,0.00,6.38,0.00,0,-8.42,9.27,0.00
1164,14.36,14.08,79,0.39,1392,100.00,7.50,3.58,27,0.00,6.38,0.00,0,-8.42,9.18,0.00
1233,14.36,14.08,79,0.40,1400,100.00,7.00,3.56,27,0.00,6.38,0.00,0,-8.42,9.36,0.00
1301,14.36,14.08,79,0.40,1392,100.00,7.50,3.58,27,0.00,6.38,0.00,0,-8.42,9.31,0.00
1370,14.36,14.00,79,0.40,1400,100.00,7.00,3.56,27,0.00,6.53,0.00,0,-8.27,9.36,0.00
1439,14.36,14.00,79,0.41,1392,100.00,7.50,3.56,27,0.00,6.53,0.00,0,-8.27,9.40,0.00
1507,14.36,14.00,79,0.40,1392,100.00,6.50,3.89,27,0.00,6.53,0.00,0,-8.27,9.44,0.00
1576,14.36,14.08,79,0.40,1403,100.00,7.00,3.88,27,0.00,6.53,0.00,0,-8.27,9.40,0.00
1644,14.36,14.00,79,0.40,1406,100.00,6.00,3.90,27,0.00,6.53,0.00,0,-8.27,9.44,0.00
1712,14.24,14.08,79,0.41,1404,100.00,6.50,3.89,27,0.00,6.53,0.00,0,-8.27,9.49,0.00
1781,14.24,14.08,79,0.40,1410,100.00,6.00,3.61,27,0.00,6.53,0.00,0,-8.27,9.44,0.00
1851,14.24,14.08,79,0.40,1408,100.00,6.50,3.60,27,0.00,6.53,0.00,0,-8.27,9.36,0.00
