Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.81,13.68,187,964,74.90,16.00,1.65,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
66,14.81,13.60,187,956,74.90,15.50,1.62,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
131,14.81,13.68,187,959,74.90,14.50,1.63,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
198,14.70,13.60,187,962,74.90,14.00,1.64,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
264,14.70,13.68,187,952,74.90,15.00,1.64,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
330,14.70,13.52,187,954,74.90,15.00,1.63,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
396,14.59,13.68,187,956,74.90,14.50,1.63,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
463,14.70,13.44,187,949,74.90,15.50,1.63,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.60,0.00
528,14.59,13.68,187,950,74.90,15.50,1.62,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.60,0.00
595,14.70,13.52,187,944,74.90,15.50,1.62,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.60,0.00
661,14.59,13.60,187,950,74.90,15.00,1.61,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
727,14.70,13.52,187,946,74.90,15.50,1.62,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
793,14.59,13.68,187,946,74.90,15.50,1.61,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
860,14.70,13.60,187,946,74.90,15.00,1.61,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.60,0.00
926,14.70,13.60,187,950,74.90,14.50,1.62,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
992,14.70,13.60,187,944,74.90,15.50,1.62,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
1058,14.70,13.60,187,952,74.90,15.00,1.61,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.60,0.00
1125,14.70,13.60,187,951,74.90,14.00,1.62,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.60,0.00
1191,14.70,13.60,187,954,74.90,14.00,1.63,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
1257,14.70,13.60,187,946,74.90,14.50,1.62,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
1322,14.70,13.60,187,950,74.90,14.00,1.62,36,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
1388,14.70,13.60,187,944,74.90,14.50,1.61,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.62,0.00
1455,14.70,13.60,187,947,74.90,14.00,1.62,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.62,0.00
1520,14.70,13.60,187,939,74.90,15.00,1.60,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.62,0.00
1587,14.70,13.68,187,946,74.90,14.00,1.62,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
1652,14.70,13.68,187,948,74.90,14.00,1.62,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
1719,14.70,13.68,187,952,74.90,13.50,1.63,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
1787,14.70,13.68,187,950,74.90,13.50,1.62,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
1851,14.70,13.68,187,952,74.90,13.50,1.63,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.67,0.00
1917,14.70,13.68,187,928,74.90,16.00,1.58,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.67,0.00
1984,14.81,13.68,187,938,74.90,15.00,1.60,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.69,0.00
2050,14.81,13.68,187,942,74.90,14.00,1.61,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.69,0.00
2116,14.81,13.68,187,951,74.90,13.00,1.62,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.78,0.00
2182,14.70,13.68,187,944,74.90,14.00,1.61,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.75,0.00
2249,14.81,13.60,187,944,74.90,14.00,1.61,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.75,0.00
2314,14.70,13.68,187,951,74.90,13.00,1.62,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.75,0.00
2381,14.81,13.60,187,946,74.90,14.00,1.61,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
2447,14.70,13.68,187,952,74.90,13.00,1.62,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
2513,14.81,13.68,187,948,74.90,14.00,1.62,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.75,0.00
2582,14.70,13.68,187,952,74.90,13.00,1.63,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.78,0.00
2648,14.81,13.68,187,951,74.90,13.50,1.62,36,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.75,0.00
2715,14.81,13.60,187,954,74.90,13.00,1.63,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
2779,14.81,13.68,187,942,74.90,14.50,1.61,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
2845,14.70,13.68,187,944,74.90,14.00,1.61,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.78,0.00
2913,14.81,13.68,187,946,74.90,14.00,1.61,36,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.75,0.00
