Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Engine Load*  (g/rev),Feedback Knock Correction* (degrees)
0,14.81,13.68,187,2339,74.90,31.50,7.98,27,0.00,9.14,10.59,45,-5.66,21.63,0.00,0.56,0.00
67,14.93,13.76,187,2322,74.90,31.50,7.93,27,0.00,9.14,10.59,45,-5.66,21.71,0.00,0.56,0.00
133,14.81,13.76,187,2340,74.90,31.50,7.99,27,0.00,9.14,10.59,45,-5.66,21.80,0.00,0.56,0.00
200,14.81,13.76,187,2330,74.90,31.50,7.95,27,0.00,9.14,10.59,45,-5.66,21.88,0.00,0.56,0.00
265,14.81,13.76,187,2344,74.90,31.50,8.00,27,0.00,9.14,10.59,45,-5.66,21.80,0.00,0.56,0.00
333,14.81,13.76,187,2344,74.90,31.50,8.00,27,0.00,9.14,10.59,45,-5.66,21.98,0.00,0.56,0.00
398,14.70,13.84,187,2335,74.90,31.50,7.97,27,0.00,9.14,10.59,45,-5.66,21.89,0.00,0.56,0.00
464,14.81,13.76,187,2348,74.90,31.50,7.97,27,0.00,9.14,10.59,45,-5.66,21.89,0.00,0.56,0.00
531,14.70,13.84,187,2335,74.90,31.50,8.03,27,0.00,9.14,10.59,45,-5.66,21.98,0.00,0.56,0.00
598,14.70,13.76,187,2354,74.90,31.50,7.96,27,0.00,9.14,10.59,45,-5.66,21.89,0.00,0.56,0.00
662,14.81,13.84,187,2333,74.90,31.50,8.04,27,0.00,9.14,10.59,45,-5.66,21.98,0.00,0.56,0.00
729,14.70,13.76,187,2357,74.90,31.50,7.98,27,0.00,9.14,10.59,45,-5.66,21.89,0.00,0.56,0.00
795,14.70,13.84,187,2338,74.90,31.50,7.99,27,0.00,9.29,10.59,45,-5.66,22.06,0.00,0.57,0.00
862,14.81,13.76,187,2341,74.90,31.50,8.04,27,0.00,9.14,10.59,45,-5.51,22.06,0.00,0.56,0.00
928,14.70,13.84,187,2356,74.90,31.50,8.01,27,0.00,9.29,10.59,45,-5.66,22.06,0.00,0.56,0.00
995,14.70,13.84,187,2346,74.90,31.50,8.04,27,0.00,9.14,10.59,45,-5.51,22.06,0.00,0.57,0.00
1059,14.81,13.84,187,2357,74.90,31.50,8.01,27,0.00,9.14,10.59,45,-5.66,22.14,0.00,0.56,0.00
1127,14.81,13.76,187,2347,74.90,31.50,8.08,27,0.00,9.14,10.59,45,-5.66,21.80,0.00,0.56,0.00
1192,14.70,13.76,187,2366,74.90,31.50,8.01,27,0.00,9.14,10.59,45,-5.66,21.89,0.00,0.56,0.00
1259,14.81,13.76,187,2346,74.90,31.50,8.04,27,0.00,9.14,10.59,45,-5.66,22.33,0.00,0.57,0.00
1326,14.81,13.84,187,2356,74.90,31.50,8.07,27,0.00,9.14,10.59,45,-5.66,22.41,0.00,0.57,0.00
1392,14.70,13.76,187,2365,74.90,31.50,8.05,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1457,14.59,13.76,187,2359,74.90,31.50,8.06,27,0.00,9.14,10.59,45,-5.66,22.14,0.00,0.56,0.00
1524,14.70,13.76,187,2363,74.90,31.50,8.08,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1590,14.81,13.76,187,2366,74.90,31.50,8.09,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1655,14.81,13.76,187,2370,74.90,31.50,8.06,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1723,14.81,13.76,187,2361,74.90,31.50,8.08,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1787,14.81,13.84,187,2366,74.90,31.50,8.12,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1855,14.81,13.76,187,2379,74.90,31.50,8.07,27,0.00,9.14,10.59,45,-5.66,22.06,0.00,0.56,0.00
1920,14.70,13.76,187,2364,74.90,31.50,8.12,27,0.00,9.14,10.59,45,-5.66,22.32,0.00,0.56,0.00
1987,14.81,13.76,187,2372,74.90,31.50,8.10,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
2054,14.81,13.76,187,2372,74.90,31.50,8.08,27,0.00,9.14,10.59,45,-5.66,22.06,0.00,0.56,0.00
2119,14.81,13.76,187,2366,74.90,31.50,8.14,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.55,0.00
2187,14.81,13.76,187,2373,74.90,31.50,8.10,27,0.00,9.14,10.59,45,-5.66,22.41,0.00,0.56,0.00
2252,14.81,13.76,187,2385,74.90,31.50,8.14,27,0.00,9.14,10.59,45,-5.66,22.33,0.00,0.56,0.00
2319,14.93,13.76,187,2378,74.90,31.50,8.12,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
2384,14.81,13.76,187,2379,74.90,31.50,8.63,27,0.00,9.14,10.59,45,-5.66,22.79,0.00,0.57,0.00
2450,14.81,13.76,187,2394,74.90,31.50,8.17,27,0.00,9.14,10.59,45,-5.66,22.60,0.00,0.57,0.00
2518,14.70,13.76,187,2380,74.90,31.50,8.12,27,0.00,9.14,10.59,45,-5.66,22.70,0.00,0.56,0.00
2583,14.70,13.76,187,2398,74.90,31.50,8.18,27,0.00,9.14,10.59,45,-5.66,22.33,0.00,0.57,0.00
2649,14.70,13.76,187,2384,74.90,31.50,8.14,27,0.00,9.29,10.98,45,-5.51,22.99,0.00,0.58,0.00
2717,14.81,13.76,187,2386,74.90,31.50,8.65,27,0.00,9.29,10.98,46,-5.51,23.18,0.00,0.59,0.00
2781,14.81,13.76,187,2401,74.90,31.50,8.71,27,0.00,9.43,10.98,46,-5.37,23.27,0.00,0.58,0.00
2848,14.81,13.68,187,2389,74.90,31.00,9.17,27,0.00,9.43,11.37,46,-5.37,24.04,0.00,0.60,0.00
2913,14.70,13.76,187,2405,74.90,31.00,8.72,27,0.00,9.58,11.37,46,-5.22,24.32,0.00,0.61,0.00
2979,14.47,13.76,187,2405,74.90,31.00,8.72,27,0.00,9.58,11.37,46,-5.22,24.04,0.00,0.61,0.00
3046,14.59,13.76,187,2400,74.90,31.00,8.71,27,0.00,9.72,11.76,46,-5.08,24.60,0.00,0.61,0.00
3113,14.70,13.76,187,2408,74.90,31.00,8.73,27,0.00,9.72,11.76,46,-5.08,24.69,0.00,0.63,0.00
3179,14.81,13.76,187,2404,74.90,31.00,9.23,27,0.00,9.87,12.16,47,-4.93,25.18,0.00,0.64,0.00
3247,14.70,13.76,187,2405,74.90,31.00,9.24,27,0.00,10.01,12.16,47,-4.79,25.78,0.00,0.65,0.00
3313,14.70,13.76,187,2415,74.90,31.00,9.27,27,0.00,10.16,12.16,47,-4.64,25.78,0.00,0.65,0.00
3379,14.70,13.68,187,2412,74.90,30.50,9.26,27,0.00,10.16,12.16,47,-4.64,26.20,0.00,0.67,0.00
3445,14.47,13.76,187,2417,74.90,30.50,9.28,27,0.00,10.30,12.55,47,-4.50,26.72,0.00,0.66,0.00
3510,14.70,13.76,187,2429,74.90,30.50,9.85,27,0.00,10.45,12.55,47,-4.35,27.13,0.00,0.68,0.00
3575,14.59,13.76,187,2412,74.90,30.50,9.78,27,0.00,10.45,12.94,47,-4.35,27.44,0.00,0.68,0.00
3641,14.47,13.68,187,2439,74.90,30.50,9.89,27,0.00,10.59,12.94,47,-4.21,27.75,0.00,0.68,0.00
3708,14.70,13.84,187,2430,74.90,30.50,9.85,27,0.00,10.74,12.94,47,-4.06,27.33,0.00,0.69,0.00
3774,14.70,13.76,187,2428,74.90,30.50,9.84,27,0.00,10.74,12.94,47,-4.06,27.95,0.00,0.69,0.00
