Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),MAF/SD Blend Percentage (%)
0,14.70,13.52,172,960,74.90,14.50,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
70,14.59,13.44,172,972,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
141,14.81,13.52,172,972,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
211,14.59,13.44,172,972,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.04,0.00,0.0
283,14.81,13.52,172,969,74.90,13.50,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.00,0.00,0.0
354,14.70,13.52,172,965,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.04,0.00,0.0
423,14.81,13.52,172,967,74.90,13.50,2.25,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,7.63,0.00,0.0
494,14.70,13.44,172,957,74.90,14.50,2.26,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
565,14.81,13.44,172,962,74.90,14.00,2.06,44,0.00,6.09,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
636,14.70,13.52,172,966,74.90,13.50,2.08,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
707,14.70,13.44,172,974,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
778,14.70,13.52,172,970,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
848,14.70,13.44,172,969,74.90,13.50,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.00,0.00,0.0
919,14.59,13.52,172,964,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,4.97,0.00,0.0
990,14.70,13.44,172,968,74.90,13.50,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.04,0.00,0.0
1062,14.59,13.60,172,958,74.90,15.00,2.04,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1132,14.70,13.52,172,969,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1205,14.81,13.52,172,960,74.90,14.50,2.08,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1273,14.81,13.52,172,974,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1344,14.81,13.52,172,969,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.10,0.00,0.0
1416,14.93,13.52,172,972,74.90,13.00,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1485,14.81,13.52,172,966,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1556,14.81,13.52,172,968,74.90,13.50,2.28,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1627,14.81,13.52,172,970,74.90,13.00,2.09,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1698,14.59,13.52,172,980,74.90,12.50,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1768,14.70,13.52,172,980,74.90,12.50,2.09,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1839,14.70,13.52,172,974,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1909,14.81,13.52,172,966,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1982,14.70,13.52,172,969,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.13,0.00,0.0
2051,14.81,13.52,172,961,74.90,14.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2122,14.81,13.52,172,970,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2195,14.81,13.52,172,969,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2264,14.81,13.52,172,971,74.90,13.50,2.05,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
2334,14.81,13.44,172,963,74.90,14.50,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
2406,14.81,13.52,172,972,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2475,14.81,13.44,172,972,74.90,13.50,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.04,0.00,0.0
2546,14.70,13.52,172,977,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2617,14.81,13.44,172,971,74.90,13.50,2.08,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
2688,14.70,13.52,172,972,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
