Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.59,14.08,131,1046,74.90,17.00,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
70,14.59,14.16,131,1036,74.90,17.50,1.99,25,0.00,4.93,0.00,0,0.27,0.00,0.0,-9.87,4.63,0.00
140,14.70,14.08,131,1049,74.90,16.00,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.57,0.00
212,14.47,14.08,131,1047,74.90,16.00,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.57,0.00
283,14.70,14.08,131,1052,74.90,15.50,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.59,0.00
354,14.70,14.08,131,1040,74.90,16.50,2.00,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.59,0.00
424,14.70,14.08,131,1036,74.90,17.00,1.99,25,0.00,4.93,0.00,0,0.27,0.00,0.0,-9.87,4.59,0.00
495,14.59,14.08,131,1042,74.90,16.50,2.00,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.63,0.00
566,14.70,14.08,131,1063,74.90,16.00,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.57,0.00
636,14.70,14.08,131,1064,74.90,14.50,2.04,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
707,14.70,14.08,131,1068,74.90,14.50,2.04,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
778,14.59,14.08,131,1052,74.90,14.00,2.05,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
848,14.59,14.08,131,1045,74.90,16.00,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.57,0.00
920,14.59,14.08,131,1049,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
990,14.47,14.08,131,1040,74.90,17.50,2.00,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.59,0.00
1061,14.70,14.08,131,1052,74.90,16.00,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.59,0.00
1130,14.47,14.08,131,1041,74.90,17.00,2.00,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
1202,14.70,14.08,131,1052,74.90,16.00,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
1273,14.59,14.08,131,1051,74.90,16.00,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
1345,14.70,14.08,131,1048,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
1416,14.70,14.08,131,1058,74.90,15.50,2.03,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
1486,14.59,14.08,131,1055,74.90,17.00,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
1557,14.59,14.16,131,1048,74.90,16.00,2.03,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.47,0.00
1628,14.70,14.08,131,1047,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
1698,14.70,14.08,131,1043,74.90,16.50,2.00,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
1770,14.70,14.08,131,1040,74.90,17.00,2.00,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
1840,14.70,14.08,131,1049,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
1910,14.59,14.08,131,1056,74.90,16.50,2.03,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
1981,14.70,14.08,131,1056,74.90,16.00,2.03,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
2053,14.47,14.08,133,1054,74.90,16.00,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.47,0.00
2122,14.70,14.08,133,1062,74.90,15.50,2.04,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.57,0.00
2193,14.59,14.08,133,1049,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
2264,14.70,14.08,133,1041,74.90,17.50,2.00,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
2345,14.59,14.08,133,1046,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
2405,14.47,14.08,133,1054,74.90,17.00,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
2476,14.47,14.08,133,1050,74.90,16.00,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.47,0.00
2546,14.70,14.08,133,1056,74.90,16.50,2.03,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
2617,14.59,14.08,133,1052,74.90,15.50,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
2688,14.59,14.08,133,1043,74.90,17.50,2.00,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.47,0.00
2759,14.59,14.08,133,1044,74.90,17.00,2.00,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
2830,14.47,14.08,133,1041,74.90,17.50,2.00,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
2901,14.70,14.08,133,1048,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
2971,14.59,14.08,133,1055,74.90,15.50,2.03,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
3042,14.70,14.08,133,1046,74.90,15.00,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
3112,14.59,14.08,133,1049,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
3182,14.70,14.08,133,1034,74.90,19.00,1.97,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
3254,14.70,14.08,133,1038,74.90,17.50,1.99,25,0.00,4.93,0.00,0,0.27,0.00,0.0,-9.87,4.50,0.00
3324,14.70,14.08,133,1049,74.90,17.50,1.99,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.47,0.00
3395,14.47,14.08,133,1048,74.90,16.00,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.47,0.00
3466,14.70,14.08,133,1053,74.90,16.50,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
3539,14.59,14.08,133,1046,74.90,15.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
3607,14.70,14.08,133,1055,74.90,15.50,2.03,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
3678,14.59,14.08,133,1065,74.90,14.50,2.04,25,0.00,4.93,0.00,0,0.25,0.00,0.0,-9.87,4.50,0.00
3748,14.47,14.08,133,1048,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.47,0.00
3820,14.81,14.08,133,1052,74.90,16.50,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.53,0.00
3890,14.59,14.08,133,1047,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.50,0.00
3962,14.70,14.08,133,1047,74.90,15.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.44,0.00
4032,14.70,14.08,133,1052,74.90,16.50,2.02,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.47,0.00
4103,14.70,14.16,133,1049,74.90,17.00,2.00,25,0.00,4.93,0.00,0,0.25,0.00,0.0,-9.87,4.44,0.00
4173,14.70,14.08,133,1044,74.90,16.50,2.01,25,0.00,4.93,0.00,0,0.26,0.00,0.0,-9.87,4.47,0.00
