Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.24,14.24,82,1405,74.90,20.00,2.70,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.55,0.00
72,14.13,14.24,82,1397,74.90,21.00,2.98,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
141,14.24,14.24,82,1401,74.90,20.50,2.70,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
213,14.24,14.24,82,1408,74.90,20.00,2.99,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
284,14.13,14.24,82,1402,74.90,20.50,2.70,13,0.00,4.93,0.00,0,0.29,0.00,0.0,-9.87,6.66,0.00
354,14.01,14.24,82,1408,74.90,20.00,3.00,13,0.00,5.08,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
424,14.01,14.24,82,1404,74.90,20.50,2.69,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
495,14.24,14.24,82,1399,74.90,19.50,2.71,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.55,0.00
566,14.24,14.32,82,1411,74.90,20.00,2.70,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
635,14.13,14.24,82,1409,74.90,19.50,2.71,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
707,14.13,14.32,82,1412,74.90,20.50,2.69,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.59,0.00
778,14.36,14.32,82,1407,74.90,20.00,2.70,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.59,0.00
849,14.24,14.24,82,1400,74.90,20.50,2.99,13,0.00,5.08,0.00,0,0.28,0.00,0.0,-9.87,6.62,0.00
920,14.13,14.32,82,1408,74.90,20.00,2.70,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.55,0.00
991,14.24,14.24,82,1399,74.90,20.50,2.69,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.59,0.00
1061,14.36,14.32,82,1410,74.90,19.50,2.69,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.55,0.00
1131,14.13,14.24,82,1399,74.90,20.50,2.69,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.59,0.00
1203,14.13,14.32,82,1403,74.90,20.00,2.68,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.55,0.00
1274,14.24,14.24,82,1394,74.90,21.00,2.98,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.59,0.00
1344,14.24,14.32,82,1397,74.90,21.00,2.99,13,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,6.62,0.00
1414,14.36,14.24,82,1400,74.90,20.50,2.68,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.59,0.00
1485,14.24,14.32,82,1398,74.90,19.50,2.70,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.59,0.00
1555,14.13,14.32,82,1406,74.90,20.50,2.68,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.59,0.00
1627,14.24,14.24,82,1397,74.90,19.50,2.70,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
1699,14.13,14.32,82,1400,74.90,20.00,2.69,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
1769,14.01,14.24,84,1406,74.90,19.50,2.70,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
1840,14.24,14.24,84,1396,74.90,20.50,2.68,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.59,0.00
1910,14.36,14.24,84,1404,74.90,20.00,2.69,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
1980,14.13,14.24,84,1403,74.90,20.00,2.70,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
2052,14.13,14.24,84,1404,74.90,20.00,2.68,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.55,0.00
2122,14.24,14.24,84,1397,74.90,20.50,2.71,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
2193,14.24,14.24,84,1412,74.90,20.50,2.69,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
2263,14.13,14.24,84,1399,74.90,20.00,2.69,13,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,6.62,0.00
