Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,15.04,13.68,187,917,74.90,13.00,1.57,34,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.47,0.00
69,14.81,13.68,187,916,74.90,13.00,1.56,34,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.47,0.00
141,14.93,13.68,187,904,74.90,14.50,1.54,34,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.53,0.00
212,14.81,13.68,187,904,74.90,14.00,1.54,34,0.00,4.50,0.00,0,0.24,0.00,0.0,-10.45,3.56,0.00
282,14.93,13.68,187,907,74.90,14.00,1.55,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.56,0.00
352,14.93,13.68,187,914,74.90,13.50,1.56,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.53,0.00
425,14.93,13.68,187,911,74.90,13.00,1.55,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.53,0.00
494,14.81,13.60,187,918,74.90,14.00,1.57,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.50,0.00
564,14.93,13.68,187,909,74.90,13.00,1.55,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.47,0.00
636,14.81,13.68,187,918,74.90,14.50,1.54,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.59,3.50,0.00
707,14.93,13.60,187,909,74.90,14.00,1.55,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.50,0.00
776,14.93,13.68,187,907,74.90,14.00,1.55,35,0.00,4.35,0.00,0,0.23,0.00,0.0,-10.59,3.53,0.00
849,14.81,13.60,187,914,74.90,13.00,1.56,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.53,0.00
919,14.81,13.68,187,902,74.90,14.50,1.54,35,0.00,4.50,0.00,0,0.24,0.00,0.0,-10.45,3.56,0.00
988,14.81,13.60,187,908,74.90,14.00,1.55,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.53,0.00
1061,14.81,13.68,187,911,74.90,13.50,1.56,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.50,0.00
1130,14.81,13.60,187,919,74.90,13.00,1.57,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.53,0.00
1201,14.81,13.68,187,914,74.90,13.00,1.56,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.45,3.50,0.00
1271,14.81,13.60,187,912,74.90,14.00,1.56,35,0.00,4.50,0.00,0,0.23,0.00,0.0,-10.59,3.47,0.00
