Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V)
0,14.70,13.52,178,885,74.90,13.50,2.08,55,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,5.04,0.00,0.54
76,14.81,13.60,178,890,74.90,13.00,1.91,55,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,5.04,0.00,0.54
167,14.81,13.52,178,897,74.90,13.00,1.91,55,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,5.04,0.00,0.54
227,14.81,13.60,178,900,74.90,13.00,1.92,55,0.00,5.80,0.00,0,0.33,0.00,0,0.0,-9.00,5.04,0.00,0.54
302,14.81,13.52,178,904,74.90,12.50,1.93,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,5.00,0.00,0.54
379,14.81,13.52,178,904,74.90,13.00,1.93,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.97,0.00,0.54
454,14.70,13.60,178,903,74.90,13.00,1.93,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,5.00,0.00,0.54
529,14.59,13.52,178,902,74.90,13.00,1.92,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,5.00,0.00,0.54
603,14.70,13.60,178,900,74.90,14.00,2.04,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.97,0.00,0.54
680,14.70,13.52,178,892,74.90,14.00,1.90,55,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.97,0.00,0.54
754,14.81,13.60,178,888,74.90,14.50,1.89,55,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,5.04,0.00,0.54
829,14.70,13.52,178,891,74.90,14.00,2.09,55,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,5.04,0.00,0.54
905,14.81,13.52,178,894,74.90,13.00,1.91,55,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.00,5.04,0.00,0.54
981,15.04,13.60,178,900,74.90,13.00,1.92,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,5.00,0.00,0.54
1055,14.81,13.52,178,901,74.90,13.00,1.93,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.97,0.00,0.54
1131,14.93,13.52,178,904,74.90,13.00,1.93,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.97,0.00,0.54
1207,14.81,13.60,178,906,74.90,13.00,1.93,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,5.00,0.00,0.54
1281,14.81,13.52,178,905,74.90,13.00,1.93,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.97,0.00,0.54
1356,14.70,13.52,178,904,74.90,13.50,1.93,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.97,0.00,0.54
1433,14.70,13.52,178,903,74.90,14.00,1.93,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,5.00,0.00,0.54
1508,14.70,13.52,178,896,74.90,14.50,1.91,55,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,5.04,0.00,0.54
1582,14.81,13.60,178,893,74.90,15.00,1.90,55,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.97,0.00,0.54
1658,14.81,13.60,178,888,74.90,15.00,1.89,55,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,5.04,0.00,0.54
1733,14.81,13.60,178,884,74.90,15.50,2.07,55,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,5.04,0.00,0.54
1807,14.81,13.60,178,889,74.90,14.50,1.90,55,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,5.04,0.00,0.54
