Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V)
0,14.70,13.92,144,1068,74.90,16.50,2.01,37,0.00,4.93,1.96,6,0.28,0.00,0,0.0,-9.87,4.91,0.00,0.60
74,14.70,13.92,144,1045,74.90,16.50,1.96,37,0.00,4.93,1.96,6,0.29,0.00,0,0.0,-9.87,4.97,0.00,0.60
150,14.70,13.92,144,1019,74.90,16.50,1.97,37,0.00,4.93,1.96,6,0.29,0.00,0,0.0,-9.87,4.97,0.00,0.60
226,14.81,13.92,144,1023,74.90,17.00,1.96,37,0.00,4.93,1.96,6,0.29,0.00,0,0.0,-9.87,5.00,0.00,0.62
301,14.70,13.92,144,1048,74.90,16.50,2.01,37,0.00,4.93,1.96,6,0.29,0.00,0,0.0,-9.87,4.97,0.00,0.62
376,14.70,13.84,144,1056,74.90,17.00,2.03,37,0.00,4.93,1.96,6,0.29,0.00,0,0.0,-9.87,5.10,0.00,0.62
451,14.81,13.92,144,1062,74.90,17.00,2.04,37,0.00,4.93,1.96,6,0.30,0.00,0,0.0,-9.87,5.19,0.00,0.62
526,14.70,13.92,144,1040,74.90,17.00,2.19,37,0.00,5.08,1.96,6,0.30,0.00,0,0.0,-9.72,5.19,0.00,0.62
602,14.70,13.84,144,1027,74.90,17.50,2.19,37,0.00,5.08,1.96,6,0.30,0.00,0,0.0,-9.72,5.22,0.00,0.62
677,14.59,13.84,144,1024,74.90,17.50,1.97,37,0.00,5.08,1.96,6,0.31,0.00,0,0.0,-9.72,5.22,0.00,0.62
753,14.70,13.92,144,1041,74.90,17.50,2.22,37,0.00,5.08,1.96,6,0.31,0.00,0,0.0,-9.72,5.22,0.00,0.62
827,14.59,13.84,144,1049,74.90,17.50,2.01,37,0.00,5.08,2.35,6,0.30,0.00,0,0.0,-9.72,5.32,0.00,0.62
903,14.70,13.92,144,1052,74.90,17.50,2.24,37,0.00,5.22,2.35,6,0.31,0.00,0,0.0,-9.58,5.39,0.00,0.62
978,14.70,13.84,144,1047,74.90,17.50,2.23,37,0.00,5.22,2.35,6,0.31,0.00,0,0.0,-9.58,5.41,0.00,0.62
1054,14.70,13.92,144,1038,74.90,17.50,2.23,37,0.00,5.22,2.75,6,0.31,0.00,0,0.0,-9.58,5.35,0.00,0.62
1129,14.59,13.84,144,1046,74.90,17.50,2.22,37,0.00,5.22,2.75,6,0.32,0.00,0,0.0,-9.58,5.52,0.00,0.62
1204,14.70,13.84,144,1039,74.90,17.50,2.26,37,0.00,5.37,2.75,6,0.32,0.00,0,0.0,-9.43,5.61,0.00,0.64
1280,14.47,13.92,144,1057,74.90,18.00,2.25,37,0.00,5.37,2.75,6,0.34,0.00,0,0.0,-9.43,5.74,0.00,0.64
1355,14.70,13.84,144,1064,74.90,18.50,2.27,37,0.00,5.51,3.14,6,0.34,0.00,0,0.0,-9.29,6.00,0.00,0.64
1430,14.70,13.84,144,1060,74.90,19.00,2.49,37,0.00,5.51,3.14,6,0.35,0.00,0,0.0,-9.29,6.26,0.00,0.66
1505,14.70,13.84,144,1059,74.90,19.00,2.51,37,0.00,5.66,3.53,6,0.37,0.00,0,0.0,-9.14,6.44,0.00,0.66
1581,14.70,13.92,144,1070,74.90,19.00,2.52,37,0.00,5.80,3.53,6,0.38,0.00,0,0.0,-9.00,6.59,0.00,0.66
1656,14.70,13.84,144,1072,74.90,19.50,2.72,37,0.00,5.95,3.92,6,0.39,0.00,0,0.0,-8.85,6.84,0.00,0.66
1732,14.59,13.84,144,1068,74.90,20.00,2.73,37,0.00,6.09,4.31,6,0.40,0.00,0,0.0,-8.71,6.95,0.00,0.68
1807,14.47,13.92,144,1094,74.90,20.00,3.03,37,0.00,6.24,4.71,6,0.42,0.00,0,0.0,-8.56,7.03,0.00,0.70
1882,14.47,13.84,144,1116,74.90,21.00,2.86,37,0.00,6.38,4.71,6,0.42,0.00,0,0.0,-8.42,7.90,0.00,0.70
1958,14.24,13.84,144,1118,74.90,21.00,2.86,37,0.00,6.53,4.71,6,0.44,0.00,0,0.0,-8.27,8.11,0.00,0.70
2032,14.24,13.84,144,1114,74.90,21.50,3.09,37,0.00,6.67,4.71,6,0.45,0.00,0,0.0,-8.13,8.31,0.00,0.70
2109,14.13,13.92,144,1116,74.90,21.50,3.16,37,0.00,6.96,4.71,6,0.44,0.00,0,0.0,-7.98,8.31,0.00,0.70
2183,14.13,13.92,144,1140,74.90,21.50,2.98,37,0.00,6.96,5.10,6,0.44,0.00,0,0.0,-7.84,8.47,0.00,0.70
2258,14.01,13.84,144,1177,74.90,22.00,3.01,37,0.00,7.11,5.10,6,0.43,0.00,0,0.0,-7.69,8.56,0.00,0.70
2334,14.13,13.84,144,1172,74.90,21.50,3.00,37,0.00,7.11,5.10,6,0.44,0.00,0,0.0,-7.69,8.52,0.00,0.70
2410,14.36,13.84,144,1191,74.90,22.00,3.05,37,0.00,7.11,5.10,6,0.43,0.00,0,0.0,-7.69,8.69,0.00,0.70
2484,14.59,13.92,144,1220,74.90,22.00,3.12,37,0.00,6.96,5.10,6,0.43,0.00,0,0.0,-7.84,8.69,0.00,0.70
2559,14.81,13.84,144,1238,74.90,22.00,3.15,37,0.00,6.96,5.10,6,0.43,0.00,0,0.0,-7.84,8.65,0.00,0.70
2635,14.93,13.92,144,1232,74.90,22.00,3.19,37,0.00,6.82,5.10,6,0.42,0.00,0,0.0,-7.84,8.74,0.00,0.70
2710,15.04,13.92,144,1247,74.90,22.00,3.25,37,0.00,6.82,5.10,6,0.41,0.00,0,0.0,-7.98,8.74,0.00,0.70
2785,15.16,13.92,144,1286,74.90,22.50,3.29,37,0.00,6.67,5.10,6,0.41,0.00,0,0.0,-8.13,8.74,0.00,0.70
2862,15.27,13.92,144,1274,74.90,22.50,3.26,37,0.00,6.67,5.10,6,0.41,0.00,0,0.0,-8.13,8.74,0.00,0.70
2936,15.39,13.92,144,1280,74.90,22.50,3.28,37,0.00,6.53,5.10,6,0.41,0.00,0,0.0,-8.27,8.78,0.00,0.70
3011,15.50,13.92,144,1322,74.90,23.00,3.38,37,0.00,6.53,5.10,6,0.40,0.00,0,0.0,-8.27,8.78,0.00,0.72
3085,15.27,13.92,144,1327,74.90,23.00,3.39,37,0.00,6.53,5.10,6,0.40,0.00,0,0.0,-8.27,8.82,0.00,0.72
3162,15.27,13.92,144,1325,74.90,23.00,3.39,37,0.00,6.38,5.10,6,0.40,0.00,0,0.0,-8.42,8.82,0.00,0.72
3237,15.16,13.92,144,1360,74.90,23.00,3.48,37,0.00,6.38,5.10,6,0.39,0.00,0,0.0,-8.42,8.78,0.00,0.72
3315,15.04,13.92,144,1369,74.90,23.00,3.51,37,0.00,6.24,5.10,7,0.38,0.00,0,0.0,-8.56,8.82,0.00,0.72
3387,14.93,13.92,144,1375,74.90,23.50,3.52,37,0.00,6.24,5.10,7,0.39,0.00,0,0.0,-8.56,8.82,0.00,0.72
3464,14.93,13.92,144,1357,74.90,23.50,3.47,37,0.00,6.24,5.10,7,0.39,0.00,0,0.0,-8.56,8.87,0.00,0.72
3539,14.81,13.92,144,1383,74.90,23.50,3.30,37,0.00,6.24,5.10,7,0.39,0.00,0,0.0,-8.56,8.87,0.00,0.72
3614,14.81,13.92,144,1408,74.90,23.50,3.35,37,0.00,6.24,5.10,7,0.38,0.00,0,0.0,-8.56,8.87,0.00,0.72
3688,14.81,13.92,144,1426,74.90,24.00,3.30,37,0.00,6.24,5.10,7,0.38,0.00,0,0.0,-8.56,8.87,0.00,0.72
3765,14.81,13.84,144,1415,74.90,23.50,3.32,37,0.00,6.24,5.10,7,0.38,0.00,0,0.0,-8.56,8.91,0.00,0.72
3840,14.70,13.92,144,1425,74.90,24.00,3.34,37,0.00,6.24,5.49,7,0.38,0.00,0,0.0,-8.56,8.95,0.00,0.72
3915,14.70,13.84,144,1451,74.90,24.50,3.41,37,0.00,6.09,5.49,7,0.37,0.00,0,0.0,-8.71,9.00,0.00,0.72
3990,14.70,13.92,144,1443,74.90,24.50,3.39,37,0.00,6.09,5.49,7,0.38,0.00,0,0.0,-8.71,9.09,0.00,0.72
4066,14.70,13.84,144,1448,74.90,24.50,3.44,37,0.00,6.09,5.49,7,0.37,0.00,0,0.0,-8.71,9.09,0.00,0.72
4141,14.59,13.92,144,1464,74.90,24.50,3.47,37,0.00,6.09,5.49,7,0.37,0.00,0,0.0,-8.71,9.13,0.00,0.72
4217,14.59,13.84,144,1480,74.90,25.00,3.49,37,0.00,6.09,5.49,8,0.37,0.00,0,0.0,-8.71,9.13,0.00,0.72
4292,14.59,13.84,144,1485,74.90,25.00,3.48,37,0.00,6.09,5.49,8,0.37,0.00,0,0.0,-8.71,9.18,0.00,0.72
4367,14.59,13.92,144,1489,74.90,25.00,3.49,37,0.00,6.09,5.49,8,0.37,0.00,0,0.0,-8.71,9.22,0.00,0.72
4442,14.59,13.92,144,1507,74.90,25.50,3.54,37,0.00,6.09,5.49,8,0.37,0.00,0,0.0,-8.71,9.39,0.00,0.72
4517,14.47,13.92,144,1513,74.90,25.50,3.55,37,0.00,6.09,5.49,8,0.37,0.00,0,0.0,-8.71,9.39,0.00,0.72
4592,14.59,13.84,144,1528,74.90,26.00,3.61,37,0.00,6.09,5.49,8,0.37,0.00,0,0.0,-8.71,9.48,0.00,0.72
4668,14.59,13.84,144,1538,74.90,26.00,3.60,37,0.00,6.09,5.88,8,0.37,0.00,0,0.0,-8.71,9.56,0.00,0.74
4745,14.59,13.92,144,1534,74.90,26.00,3.63,37,0.00,6.09,5.88,8,0.37,0.00,0,0.0,-8.71,9.61,0.00,0.74
4818,14.70,13.84,144,1575,74.90,26.00,3.70,37,0.00,6.09,5.88,8,0.37,0.00,0,0.0,-8.71,9.75,0.00,0.74
4893,14.70,13.84,144,1579,74.90,27.00,3.71,37,0.00,6.09,5.88,8,0.38,0.00,0,0.0,-8.71,10.08,0.00,0.74
4969,14.70,13.84,144,1585,74.90,27.00,3.72,37,0.00,6.09,5.88,8,0.38,0.00,0,0.0,-8.71,10.08,0.00,0.74
5044,14.81,13.84,144,1594,74.90,27.50,4.12,37,0.00,6.09,6.27,8,0.39,0.00,0,0.0,-8.71,10.23,0.00,0.74
5119,14.81,13.84,144,1610,74.90,28.00,4.13,37,0.00,6.09,6.27,8,0.38,0.00,0,0.0,-8.71,10.33,0.00,0.74
5195,14.81,13.84,144,1612,74.90,28.00,4.16,37,0.00,6.09,6.27,9,0.38,0.00,0,0.0,-8.71,10.38,0.00,0.74
5270,14.81,13.92,144,1636,74.90,28.00,3.84,37,0.00,6.09,6.27,9,0.38,0.00,0,0.0,-8.71,10.48,0.00,0.74
5345,14.70,13.84,144,1660,74.90,28.50,3.89,37,0.00,6.09,6.27,9,0.38,0.00,0,0.0,-8.71,10.49,0.00,0.74
5421,14.70,13.92,145,1669,74.90,28.50,3.92,37,0.00,6.09,6.27,9,0.38,0.00,0,0.0,-8.71,10.49,0.00,0.76
5496,14.81,13.84,145,1671,74.90,28.50,3.92,37,0.00,5.95,6.27,9,0.38,0.00,0,0.0,-8.85,10.59,0.00,0.76
5572,14.81,13.92,145,1680,74.90,28.50,3.97,37,0.00,5.95,6.27,9,0.38,0.00,0,0.0,-8.85,10.58,0.00,0.76
5646,14.81,13.84,145,1691,74.90,28.50,3.99,37,0.00,5.95,6.27,8,0.38,0.00,0,0.0,-8.85,10.59,0.00,0.76
5723,14.81,13.84,145,1701,74.90,28.50,4.05,37,0.00,5.95,6.27,8,0.37,0.00,0,0.0,-8.85,10.74,0.00,0.76
5797,14.93,13.92,145,1738,74.90,29.00,4.08,37,0.00,5.80,6.27,8,0.37,0.00,0,0.0,-9.00,10.59,0.00,0.76
5873,14.93,13.92,145,1742,74.90,29.00,4.09,37,0.00,5.80,6.27,8,0.37,0.00,0,0.0,-9.00,10.69,0.00,0.76
5948,14.93,13.92,145,1747,74.90,29.00,4.10,37,0.00,5.80,6.27,8,0.37,0.00,0,0.0,-9.00,10.69,0.00,0.76
6024,14.81,13.92,145,1756,74.90,29.00,4.12,37,0.00,5.80,6.27,8,0.37,0.00,0,0.0,-9.00,10.74,0.00,0.76
6099,14.93,13.84,145,1762,74.90,29.00,4.17,37,0.00,5.66,6.27,9,0.36,0.00,0,0.0,-9.00,10.79,0.00,0.76
6177,14.81,13.92,145,1776,74.90,29.00,4.18,37,0.00,5.66,6.27,9,0.36,0.00,0,0.0,-9.14,10.79,0.00,0.76
6250,14.81,13.92,145,1783,74.90,29.00,4.18,37,0.00,5.66,6.27,9,0.36,0.00,0,0.0,-9.14,10.74,0.00,0.76
6324,14.70,13.92,145,1798,74.90,29.00,4.22,37,0.00,5.66,6.27,9,0.36,0.00,0,0.0,-9.14,10.74,0.00,0.76
6400,14.70,13.92,145,1809,74.90,29.50,4.24,36,0.00,5.66,6.27,9,0.36,0.00,0,0.0,-9.14,10.79,0.00,0.76
6475,14.70,13.92,145,1809,74.90,29.50,4.25,36,0.00,5.66,6.27,9,0.36,0.00,0,0.0,-9.14,10.89,0.00,0.76
6551,14.70,13.92,145,1809,74.90,29.00,4.26,36,0.00,5.66,6.27,9,0.35,0.00,0,0.0,-9.14,10.64,0.00,0.76
6628,14.70,13.92,145,1816,74.90,29.00,4.29,36,0.00,5.66,6.27,9,0.36,0.00,0,0.0,-9.14,10.74,0.00,0.76
6701,14.70,13.92,145,1828,74.90,29.50,4.31,36,0.00,5.66,6.27,9,0.35,0.00,0,0.0,-9.14,10.89,0.00,0.76
