Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),A/F Learning #1 (%)
0,15.04,13.76,178,930,74.90,15.50,1.59,33,0.00,4.93,0.00,0,0.28,0.00,0,0.0,-9.72,4.25,0.00,0.54,-10.16
76,14.93,13.76,178,925,74.90,16.00,1.58,33,0.00,4.93,0.00,0,0.28,0.00,0,0.0,-9.72,4.36,0.00,0.54,-10.16
155,14.93,13.76,178,935,74.90,15.00,1.79,33,0.00,4.93,0.00,0,0.28,0.00,0,0.0,-9.72,4.39,0.00,0.54,-10.16
232,15.04,13.76,178,935,74.90,15.00,1.80,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.39,0.00,0.54,-10.16
310,15.04,13.68,178,946,74.90,13.50,1.61,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.25,0.00,0.54,-10.16
387,15.04,13.76,178,933,74.90,15.00,1.59,33,0.00,4.93,0.00,0,0.26,0.00,0,0.0,-9.72,4.17,0.00,0.54,-10.16
466,14.81,13.76,178,939,74.90,14.50,1.62,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.20,0.00,0.54,-10.16
542,14.93,13.68,178,940,74.90,14.00,1.61,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.20,0.00,0.54,-10.16
620,14.70,13.76,178,930,74.90,15.50,1.59,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.25,0.00,0.54,-10.16
697,14.70,13.68,178,942,74.90,14.00,1.61,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.22,0.00,0.54,-10.16
775,14.70,13.76,178,945,74.90,13.50,1.61,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.17,0.00,0.54,-10.16
852,14.70,13.84,178,947,74.90,13.50,1.62,33,0.00,4.93,0.00,0,0.26,0.00,0,0.0,-9.72,4.14,0.00,0.54,-10.16
930,14.81,13.68,178,946,74.90,13.50,1.61,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.14,0.00,0.54,-10.16
1009,14.81,13.76,178,923,74.90,16.00,1.58,33,0.00,4.79,0.00,0,0.27,0.00,0,0.0,-9.87,4.11,0.00,0.54,-10.16
1086,14.93,13.68,178,932,74.90,15.00,1.59,33,0.00,4.79,0.00,0,0.27,0.00,0,0.0,-9.87,4.14,0.00,0.54,-10.16
1163,14.81,13.76,178,932,74.90,15.00,1.59,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.20,0.00,0.54,-10.16
1241,14.93,13.76,178,932,74.90,14.50,1.59,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.17,0.00,0.54,-10.16
1318,14.70,13.76,178,938,74.90,14.00,1.58,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.14,0.00,0.54,-10.16
1397,14.70,13.76,178,937,74.90,14.00,1.60,33,0.00,4.93,0.00,0,0.26,0.00,0,0.0,-9.72,4.14,0.00,0.54,-10.16
