Time (msec),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Knock Count (Combined) (Knock Events),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
0,-7.03,14.59,13.68,181,0.28,877,0.00,16.00,1.50,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.7562
73,-7.03,14.70,13.68,181,0.28,885,0.00,15.00,1.49,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.8508
145,-7.03,14.59,13.68,181,0.28,881,0.00,15.50,1.51,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.8234
219,-7.03,14.70,13.60,181,0.28,880,0.00,15.50,1.50,115,0.00,0,4.64,-10.01,4.07,1.32,0.00,0.54,65.8630
292,-7.03,14.81,13.68,181,0.28,879,0.00,15.50,1.50,115,0.00,0,4.64,-10.01,4.02,1.30,0.00,0.54,65.8569
366,-7.03,14.70,13.68,181,0.28,884,0.00,15.00,1.51,115,0.00,0,4.64,-10.01,4.05,1.30,0.00,0.54,65.9241
438,-7.03,14.81,13.60,181,0.28,882,0.00,15.50,1.50,115,0.00,0,4.64,-10.01,4.05,1.28,0.00,0.54,65.7806
511,-7.03,14.81,13.68,181,0.28,873,0.00,16.00,1.49,115,0.00,0,4.64,-10.01,4.05,1.28,0.00,0.54,65.7928
584,-7.03,14.93,13.68,181,0.28,866,0.00,15.50,1.48,115,0.00,0,4.64,-10.01,4.05,1.30,0.00,0.54,65.6769
657,-7.03,14.81,13.68,181,0.28,868,0.00,16.50,1.48,115,0.00,0,4.64,-10.01,4.07,1.30,0.00,0.54,65.7410
730,-7.03,14.81,13.68,181,0.28,866,0.00,16.50,1.49,115,0.00,0,4.64,-10.01,4.05,1.32,0.00,0.54,65.6250
803,-7.03,14.70,13.68,181,0.29,870,0.00,16.00,1.48,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.6433
875,-7.03,14.81,13.68,181,0.29,874,0.00,15.50,1.48,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.7562
949,-7.03,14.81,13.68,181,0.27,889,0.00,14.00,1.49,115,0.00,0,4.64,-10.01,4.07,1.32,0.00,0.54,65.8112
1021,-7.03,14.81,13.68,181,0.28,891,0.00,13.50,1.52,115,0.00,0,4.64,-10.01,4.07,1.32,0.00,0.54,65.9363
1095,-7.03,14.93,13.68,181,0.27,898,0.00,13.00,1.53,115,0.00,0,4.64,-10.01,4.07,1.30,0.00,0.54,65.9027
1168,-7.03,14.81,13.68,181,0.27,897,0.00,13.00,1.53,115,0.00,0,4.64,-10.01,4.05,1.30,0.00,0.54,65.9698
1241,-7.03,14.81,13.68,181,0.27,897,0.00,13.00,1.53,115,0.00,0,4.64,-10.01,4.07,1.30,0.00,0.54,65.8997
1314,-7.03,14.70,13.68,181,0.27,890,0.00,14.00,1.52,115,0.00,0,4.64,-10.01,4.07,1.30,0.00,0.54,65.9302
1387,-7.03,14.70,13.68,181,0.28,888,0.00,15.00,1.52,115,0.00,0,4.64,-10.01,4.07,1.30,0.00,0.54,65.8813
1459,-7.03,14.70,13.68,181,0.28,886,0.00,14.50,1.52,115,0.00,0,4.64,-10.01,4.10,1.30,0.00,0.54,65.8844
1532,-7.03,14.81,13.68,181,0.28,877,0.00,15.50,1.51,115,0.00,0,4.64,-10.01,4.13,1.30,0.00,0.54,65.8081
1605,-7.03,14.81,13.68,181,0.28,879,0.00,15.50,1.50,115,0.00,0,4.64,-10.01,4.15,1.32,0.00,0.54,65.8813
1679,-7.03,14.93,13.68,181,0.28,880,0.00,15.50,1.50,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.8234
1752,-7.03,14.81,13.68,181,0.28,882,0.00,15.00,1.51,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.8112
1824,-7.03,14.93,13.68,181,0.28,881,0.00,15.50,1.50,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.8234
1898,-7.03,14.93,13.68,181,0.28,882,0.00,15.00,1.51,115,0.00,0,4.64,-10.01,4.15,1.32,0.00,0.54,65.7990
1971,-7.03,15.04,13.60,181,0.28,884,0.00,15.00,1.50,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.8386
2044,-7.03,14.93,13.68,181,0.28,889,0.00,14.00,1.51,115,0.00,0,4.64,-10.01,4.15,1.32,0.00,0.54,65.8936
2117,-7.03,15.16,13.60,181,0.27,891,0.00,14.00,1.52,115,0.00,0,4.64,-10.01,4.13,1.30,0.00,0.54,65.9363
2189,-7.81,15.04,13.68,181,0.27,882,0.00,15.50,1.52,115,0.00,0,4.64,-10.01,4.07,1.30,0.00,0.54,65.9058
2263,-7.81,14.81,13.60,181,0.28,888,0.00,14.50,1.52,115,0.00,0,4.64,-10.01,4.18,1.30,0.00,0.54,65.8966
2336,-7.81,14.93,13.52,181,0.28,880,0.00,15.50,1.50,115,0.00,0,4.64,-10.01,4.13,1.30,0.00,0.54,65.8600
2409,-7.81,14.81,13.68,181,0.28,884,0.00,15.00,1.51,115,0.00,0,4.64,-10.01,4.13,1.30,0.00,0.54,65.9698
2481,-7.81,14.93,13.60,181,0.28,882,0.00,13.50,1.51,115,0.00,0,4.64,-10.01,4.13,1.30,0.00,0.54,65.8081
2554,-7.81,14.81,13.68,181,0.28,881,0.00,15.50,1.50,115,0.00,0,4.64,-10.01,4.13,1.30,0.00,0.54,65.8752
2628,-7.81,14.93,13.60,181,0.28,894,0.00,14.00,1.52,115,0.00,0,4.64,-10.01,4.10,1.32,0.00,0.54,65.9363
2701,-7.81,14.81,13.68,181,0.28,897,0.00,13.50,1.53,115,0.00,0,4.64,-10.01,4.18,1.32,0.00,0.54,65.8447
2774,-7.81,14.70,13.60,181,0.28,885,0.00,15.00,1.53,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.8295
2848,-7.81,14.81,13.68,181,0.28,890,0.00,14.00,1.51,115,0.00,0,4.64,-10.01,4.21,1.32,0.00,0.54,65.8539
2920,-7.81,14.70,13.60,181,0.28,889,0.00,14.50,1.52,115,0.00,0,4.64,-10.01,4.21,1.34,0.00,0.54,65.8997
2993,-7.81,14.81,13.60,181,0.28,900,0.00,13.50,1.54,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.9973
3066,-7.81,14.70,13.68,181,0.28,900,0.00,13.50,1.54,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.9637
3138,-7.81,14.81,13.60,181,0.28,896,0.00,14.00,1.53,115,0.00,0,4.64,-10.01,4.13,1.32,0.00,0.54,65.7379
