Time (msec),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Knock Count (Combined) (Knock Events),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
0,0.00,14.47,14.08,180,0.29,896,0.00,14.00,1.53,70,0.00,0,5.08,-9.58,4.30,1.36,0.00,0.54,66.2262
72,0.00,14.47,14.08,180,0.29,895,0.00,14.00,1.53,70,0.00,0,5.08,-9.58,4.30,1.34,0.00,0.54,66.1102
146,0.00,14.47,14.00,180,0.29,894,0.00,14.00,1.53,70,0.00,0,5.08,-9.58,4.30,1.34,0.00,0.54,66.0492
219,0.00,14.59,14.08,180,0.29,889,0.00,15.00,1.53,70,0.00,0,5.08,-9.58,4.33,1.34,0.00,0.54,66.1499
291,0.00,14.59,14.00,180,0.29,899,0.00,14.50,1.52,70,0.00,0,5.08,-9.58,4.30,1.34,0.00,0.54,66.0706
365,0.00,14.59,14.08,180,0.29,891,0.00,14.00,1.52,70,0.00,0,5.08,-9.58,4.35,1.34,0.00,0.54,66.0919
437,0.00,14.70,14.08,180,0.29,893,0.00,15.50,1.51,70,0.00,0,5.08,-9.58,4.30,1.34,0.00,0.54,66.0034
511,0.00,14.59,14.08,180,0.29,893,0.00,14.00,1.52,70,0.00,0,5.08,-9.58,4.35,1.34,0.00,0.54,66.1774
584,0.00,14.59,14.08,180,0.29,888,0.00,15.00,1.52,70,0.00,0,5.08,-9.58,4.33,1.32,0.00,0.54,66.1316
657,0.00,14.59,14.08,180,0.29,898,0.00,14.00,1.53,70,0.00,0,5.08,-9.58,4.33,1.32,0.00,0.54,66.2140
730,0.00,14.70,14.00,180,0.29,887,0.00,15.00,1.51,70,0.00,0,5.08,-9.58,4.30,1.34,0.00,0.54,66.0950
803,0.00,14.59,14.00,180,0.29,895,0.00,14.00,1.53,70,0.00,0,5.08,-9.58,4.33,1.34,0.00,0.54,66.1621
876,0.00,14.70,14.00,180,0.29,897,0.00,14.00,1.51,70,0.00,0,5.08,-9.58,4.35,1.34,0.00,0.54,66.0278
950,0.00,14.47,14.00,180,0.30,884,0.00,14.00,1.52,70,0.00,0,5.08,-9.43,4.38,1.34,0.00,0.54,66.0767
1023,0.00,14.59,14.08,180,0.29,893,0.00,13.50,1.53,70,0.00,0,5.22,-9.43,4.35,1.36,0.00,0.54,66.2476
1095,0.00,14.70,14.08,180,0.29,899,0.00,13.00,1.54,70,0.00,0,5.22,-9.43,4.38,1.36,0.00,0.54,66.1072
1169,0.00,14.47,14.00,180,0.29,896,0.00,14.00,1.53,70,0.00,0,5.22,-9.43,4.35,1.36,0.00,0.54,66.1926
1241,0.00,14.70,14.08,180,0.30,892,0.00,14.00,1.52,70,0.00,0,5.22,-9.43,4.35,1.36,0.00,0.54,66.0339
1313,0.00,14.47,14.08,180,0.30,888,0.00,14.50,1.52,70,0.00,0,5.22,-9.43,4.35,1.36,0.00,0.54,66.1072
1388,0.00,14.59,14.00,180,0.30,888,0.00,14.50,1.52,70,0.00,0,5.22,-9.43,4.38,1.36,0.00,0.54,66.1133
1461,0.00,14.59,14.00,180,0.30,886,0.00,14.50,1.54,70,0.00,0,5.22,-9.43,4.41,1.36,0.00,0.54,66.2842
1533,0.00,14.70,14.00,180,0.29,900,0.00,13.50,1.53,70,0.00,0,5.22,-9.43,4.44,1.36,0.00,0.54,66.2994
1606,0.00,14.70,14.00,180,0.29,898,0.00,13.00,1.54,70,0.00,0,5.22,-9.43,4.41,1.34,0.00,0.54,66.3574
1680,0.00,14.59,14.00,180,0.30,903,0.00,13.50,1.53,70,0.00,0,5.22,-9.43,4.41,1.34,0.00,0.54,66.2598
1752,0.00,14.70,13.92,180,0.30,897,0.00,14.00,1.53,70,0.00,0,5.22,-9.43,4.41,1.34,0.00,0.54,66.2048
1826,0.00,14.70,14.00,180,0.29,895,0.00,14.00,1.53,70,0.00,0,5.22,-9.43,4.38,1.34,0.00,0.54,66.3177
1898,0.00,14.70,14.00,180,0.30,907,0.00,12.50,1.55,70,0.00,0,5.22,-9.43,4.38,1.34,0.00,0.54,66.2079
1972,0.00,14.70,14.00,180,0.30,892,0.00,14.00,1.52,70,0.00,0,5.22,-9.43,4.41,1.34,0.00,0.54,66.2323
2045,0.00,14.70,14.00,180,0.30,899,0.00,13.50,1.53,70,0.00,0,5.22,-9.43,4.41,1.34,0.00,0.54,66.1591
2116,0.00,14.59,13.92,180,0.29,900,0.00,14.50,1.56,70,0.00,0,5.22,-9.43,4.41,1.34,0.00,0.54,66.3483
2190,0.00,14.70,14.00,180,0.29,912,0.00,13.00,1.55,70,0.00,0,5.22,-9.43,4.41,1.34,0.00,0.54,66.3666
2263,0.00,14.70,14.00,180,0.29,911,0.00,12.50,1.55,70,0.00,0,5.22,-9.43,4.41,1.34,0.00,0.54,66.3879
2336,0.00,14.81,14.00,180,0.29,910,0.00,14.00,1.53,70,0.00,0,5.22,-9.43,4.38,1.34,0.00,0.54,66.2323
2409,0.00,14.59,13.92,180,0.30,894,0.00,14.00,1.53,70,0.00,0,5.22,-9.43,4.38,1.34,0.00,0.54,66.2445
2483,0.00,14.59,14.08,180,0.29,894,0.00,14.00,1.53,70,0.00,0,5.22,-9.43,4.41,1.36,0.00,0.54,66.2720
2555,0.00,14.70,14.08,180,0.29,906,0.00,13.00,1.55,70,0.00,0,5.22,-9.43,4.41,1.36,0.00,0.54,66.2262
2628,0.00,14.70,14.00,180,0.29,900,0.00,14.00,1.54,70,0.00,0,5.22,-9.43,4.41,1.36,0.00,0.54,66.2476
2701,0.00,14.70,14.00,180,0.29,902,0.00,13.50,1.53,70,0.00,0,5.22,-9.43,4.41,1.36,0.00,0.54,66.2048
2775,0.00,14.81,14.00,180,0.29,898,0.00,14.00,1.55,70,0.00,0,5.22,-9.43,4.41,1.36,0.00,0.54,66.2994
2846,0.00,14.70,14.00,180,0.29,907,0.00,14.00,1.54,70,0.00,0,5.22,-9.43,4.41,1.36,0.00,0.54,66.2445
2919,0.00,14.70,14.00,180,0.29,902,0.00,14.00,1.54,70,0.00,0,5.22,-9.43,4.38,1.36,0.00,0.54,66.2659
2995,0.00,14.81,14.08,180,0.30,901,0.00,15.00,1.53,70,0.00,0,5.22,-9.43,4.41,1.36,0.00,0.54,66.2720
3067,0.00,14.70,14.08,180,0.30,905,0.00,13.50,1.54,70,0.00,0,5.22,-9.43,4.50,1.38,0.00,0.54,66.3849
3139,0.00,14.70,14.00,180,0.31,900,0.00,14.00,1.73,70,0.00,0,5.22,-9.43,4.64,1.38,0.00,0.54,66.3239
3213,0.00,14.70,14.00,180,0.31,900,0.00,14.00,1.73,70,0.00,0,5.22,-9.43,4.71,1.38,0.00,0.54,66.5466
3284,0.00,14.70,14.00,180,0.30,914,0.00,13.00,1.76,70,0.00,0,5.37,-9.29,4.73,1.38,0.00,0.54,66.8182
3357,0.00,14.70,14.00,180,0.30,932,0.00,11.00,1.59,70,0.00,0,5.37,-9.43,4.66,1.38,0.00,0.54,66.7542
3431,0.00,14.70,14.00,180,0.30,929,0.00,11.00,1.59,70,0.00,0,5.22,-9.43,4.64,1.38,0.00,0.54,66.7389
3504,0.00,14.70,14.00,180,0.30,934,0.00,13.00,1.57,70,0.00,0,5.22,-9.43,4.61,1.38,0.00,0.54,66.5833
3578,0.00,14.81,14.00,180,0.30,920,0.00,13.00,1.77,70,0.00,0,5.22,-9.43,4.61,1.38,0.00,0.54,66.7114
3650,0.00,14.93,14.00,180,0.30,922,0.00,12.50,1.78,70,0.00,0,5.22,-9.43,4.64,1.38,0.00,0.54,66.6809
3723,0.00,14.81,14.00,180,0.30,932,0.00,11.50,1.79,70,0.00,0,5.22,-9.43,4.66,1.38,0.00,0.54,66.7908
3797,0.00,14.93,14.00,180,0.29,935,0.00,11.50,1.60,70,0.00,0,5.22,-9.43,4.66,1.38,0.00,0.54,66.7175
3870,0.00,14.93,14.00,180,0.30,938,0.00,11.50,1.60,70,0.00,0,5.22,-9.43,4.61,1.36,0.00,0.54,66.6229
3942,0.00,14.93,14.00,180,0.30,929,0.00,13.00,1.59,70,0.00,0,5.22,-9.43,4.61,1.36,0.00,0.54,66.5619
4014,0.00,15.16,14.00,180,0.29,938,0.00,13.00,1.61,70,0.00,1,5.22,-9.43,4.61,1.36,0.00,0.54,66.5527
4087,0.00,14.93,14.00,180,0.29,941,0.00,11.00,1.62,70,0.00,0,5.22,-9.43,4.61,1.36,0.00,0.54,66.7175
4162,0.00,14.81,14.00,180,0.29,948,0.00,12.00,1.60,70,0.00,0,5.22,-9.58,4.61,1.36,0.00,0.54,66.5955
4234,0.00,14.93,14.00,180,0.29,940,0.00,12.00,1.61,70,0.00,0,5.08,-9.58,4.58,1.36,0.00,0.54,66.6016
4307,0.00,14.81,14.00,180,0.29,944,0.00,11.50,1.62,70,0.00,0,5.08,-9.58,4.55,1.36,0.00,0.54,66.6199
4379,0.00,14.81,14.00,180,0.29,944,0.00,12.00,1.61,70,0.00,0,5.08,-9.58,4.58,1.36,0.00,0.54,66.4734
4452,0.00,14.81,14.00,180,0.29,934,0.00,13.50,1.59,70,0.00,0,5.08,-9.58,4.55,1.36,0.00,0.54,66.5009
4525,0.00,14.93,14.00,180,0.29,940,0.00,13.00,1.60,70,0.00,0,5.08,-9.58,4.58,1.36,0.00,0.54,66.4795
4599,0.00,14.81,14.00,180,0.29,940,0.00,13.00,1.60,70,0.00,0,5.08,-9.58,4.58,1.36,0.00,0.54,66.6321
