Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Sensor Voltage (V),A/F Learning #1 (%),Intake Air Temperature (F),Mass Airflow Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
0,14.70,13.76,176,2898,38.00,6.18,0.00,5.66,6.27,0.36,0.00,0,-9.14,17.21,0.74,-14.84,93,2.04,74.2218
73,14.59,13.84,176,2909,38.00,6.21,0.00,5.51,6.27,0.35,0.00,0,-9.29,17.21,0.74,-14.84,93,2.02,74.2920
147,14.70,13.84,176,2890,38.00,6.21,0.00,5.66,5.88,0.36,0.00,0,-9.29,17.06,0.74,-14.84,93,2.02,74.1302
219,14.47,13.76,176,2896,38.00,6.17,0.00,5.51,6.27,0.36,0.00,0,-9.14,17.21,0.74,-14.84,93,2.04,74.1425
292,14.59,13.84,176,2884,38.00,6.18,0.00,5.66,6.27,0.35,0.00,0,-9.29,17.36,0.74,-14.84,93,2.04,74.3256
365,14.59,13.76,176,2908,38.50,6.20,0.00,5.66,6.27,0.36,0.00,0,-9.14,17.36,0.74,-14.84,93,2.04,74.3195
438,14.70,13.84,176,2900,38.50,6.19,0.00,5.66,6.27,0.36,0.00,0,-9.14,17.36,0.76,-14.84,93,2.04,74.3347
511,14.70,13.76,176,2901,38.50,6.19,0.00,5.66,6.27,0.37,0.00,0,-9.14,17.81,0.76,-14.84,93,2.04,74.5361
584,14.70,13.76,176,2886,38.50,6.16,0.00,5.66,6.67,0.37,0.00,0,-9.14,17.97,0.76,-14.84,93,2.06,74.6979
657,14.70,13.76,176,2883,39.00,6.15,0.00,5.80,6.67,0.38,0.00,0,-9.00,18.27,0.76,-14.84,93,2.06,74.8322
732,14.70,13.76,176,2882,39.00,6.15,0.00,5.95,6.67,0.38,0.00,0,-9.00,18.27,0.76,-14.84,93,2.06,74.9969
804,14.70,13.84,176,2899,39.00,6.76,0.00,5.95,7.06,0.39,0.00,0,-8.85,18.71,0.78,-14.84,93,2.08,75.2594
877,14.59,13.76,176,2893,39.00,6.80,0.00,6.09,7.06,0.40,0.00,0,-8.85,19.18,0.78,-14.84,93,2.10,75.5554
