Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Sensor Voltage (V),A/F Learning #1 (%),Intake Air Temperature (F),Mass Airflow Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
0,14.36,13.76,174,2370,37.50,6.07,0.00,6.96,8.63,0.49,0.00,0,-7.98,18.87,0.82,-14.06,91,2.08,76.5808
73,14.47,13.76,174,2370,37.50,6.07,0.00,7.11,8.63,0.49,0.00,0,-7.84,19.68,0.82,-14.06,91,2.10,77.0874
146,14.81,13.76,174,2384,37.50,6.57,0.00,7.11,8.63,0.50,0.00,0,-7.69,19.77,0.82,-14.06,90,2.12,77.4261
219,14.93,13.76,174,2356,37.50,7.04,0.00,7.25,8.63,0.50,0.00,0,-7.69,20.14,0.82,-14.06,90,2.12,77.7740
292,14.93,13.68,174,2383,37.50,6.61,0.00,7.40,9.02,0.52,0.00,0,-7.40,20.59,0.84,-14.84,90,2.14,78.1708
365,14.93,13.76,174,2372,37.50,6.58,0.00,7.40,9.02,0.53,0.00,0,-7.40,20.87,0.84,-14.84,90,2.14,78.2745
439,15.04,13.76,174,2378,37.50,6.60,0.00,7.55,9.41,0.53,0.00,0,-7.25,20.95,0.84,-14.84,91,2.14,78.7079
512,14.93,13.76,174,2306,37.00,7.07,0.00,7.69,9.41,0.55,0.00,0,-7.11,21.50,0.84,-14.84,90,2.16,79.1870
585,14.81,13.76,174,2378,37.00,7.08,0.00,7.84,9.41,0.55,0.00,0,-7.11,21.78,0.84,-14.84,90,2.16,79.3396
658,14.81,13.76,174,2369,37.00,7.10,0.00,7.84,9.41,0.55,0.00,0,-6.96,22.05,0.86,-14.84,91,2.18,79.6082
730,14.70,13.76,174,2379,36.50,7.07,0.00,7.98,9.80,0.57,0.00,0,-6.96,22.22,0.86,-14.84,91,2.18,79.8676
803,14.70,13.76,174,2370,36.50,7.11,0.00,8.13,9.80,0.57,0.00,0,-6.82,22.89,0.86,-14.84,91,2.20,80.3375
877,14.93,13.76,174,2381,36.50,7.62,0.00,8.27,10.20,0.57,0.00,0,-6.67,22.79,0.88,-14.84,91,2.20,80.7983
951,14.93,13.76,174,2360,35.50,7.55,0.00,8.27,10.20,0.60,0.00,0,-6.53,23.46,0.88,-14.84,91,2.22,80.9998
1024,14.70,13.68,174,2377,35.50,7.61,0.00,8.42,10.20,0.60,0.00,0,-6.38,23.74,0.88,-14.84,91,2.22,81.4484
1096,14.81,13.76,174,2370,35.50,7.58,0.00,8.56,10.20,0.61,0.00,0,-6.24,24.13,0.88,-14.84,91,2.22,81.8970
1170,14.70,13.76,174,2384,35.50,7.59,0.00,8.56,10.59,0.62,0.00,0,-6.24,24.22,0.88,-14.84,91,2.24,81.9092
