Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,13.67,14.24,55,1522,74.90,21.50,3.57,18,0.00,5.08,0.00,0,0.34,0.00,0.0,-9.87,8.52,0.00
71,13.67,14.32,57,1523,74.90,22.50,3.57,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.65,0.00
142,13.67,14.24,57,1526,74.90,22.50,3.57,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.60,0.00
212,13.67,14.32,57,1531,74.90,21.00,3.59,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.52,0.00
283,13.67,14.32,57,1524,74.90,21.50,3.58,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.65,0.00
354,13.67,14.24,57,1526,74.90,22.50,3.58,18,0.00,5.08,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
424,13.67,14.32,57,1538,74.90,21.00,3.61,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
495,13.67,14.24,57,1522,74.90,22.50,3.57,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
566,13.67,14.32,57,1523,74.90,22.50,3.57,18,0.00,5.08,0.00,0,0.34,0.00,0.0,-9.87,8.60,0.00
637,13.55,14.24,57,1532,74.90,21.00,3.60,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
707,13.55,14.32,57,1526,74.90,22.00,3.58,18,0.00,5.08,0.00,0,0.33,0.00,0.0,-9.87,8.65,0.00
778,13.55,14.24,57,1474,74.90,22.00,3.59,18,0.00,5.08,0.00,0,0.34,0.00,0.0,-9.87,8.56,0.00
850,13.55,14.24,57,1590,74.90,21.00,3.61,18,0.00,5.08,0.00,0,0.34,0.00,0.0,-9.87,8.60,0.00
919,13.55,14.24,57,1520,74.90,22.50,3.58,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.65,0.00
990,13.44,14.32,57,1533,74.90,22.50,3.57,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
1062,13.44,14.24,57,1525,74.90,21.00,3.58,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.65,0.00
1132,13.44,14.32,57,1524,74.90,22.50,3.58,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.60,0.00
1202,13.44,14.32,57,1532,74.90,22.50,3.59,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
1273,13.44,14.24,57,1530,74.90,21.50,3.59,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.56,0.00
1345,13.32,14.32,57,1530,74.90,22.00,3.59,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.56,0.00
1415,13.32,14.24,57,1544,74.90,20.00,3.62,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
1484,13.32,14.24,57,1533,74.90,21.50,3.60,18,0.00,5.08,0.00,0,0.33,0.00,0.0,-9.87,8.47,0.00
1556,13.32,14.32,57,1532,74.90,22.00,3.60,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
1627,13.21,14.24,57,1540,74.90,21.00,3.61,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
1699,13.21,14.32,57,1521,74.90,23.00,3.59,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
1769,13.21,14.24,57,1529,74.90,23.00,3.57,18,0.00,5.08,0.00,0,0.34,0.00,0.0,-9.87,8.56,0.00
1840,13.21,14.32,57,1530,74.90,22.00,3.59,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.47,0.00
1909,13.21,14.24,57,1518,74.90,22.50,3.56,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
1980,13.09,14.32,57,1526,74.90,23.00,3.58,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
2051,13.09,14.32,57,1524,74.90,22.00,3.58,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
2122,13.09,14.24,57,1520,74.90,22.50,3.57,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
2192,13.09,14.32,57,1531,74.90,21.00,3.59,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
2265,13.09,14.24,57,1525,74.90,22.00,3.58,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
2334,13.09,14.32,57,1524,74.90,22.00,3.58,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
2405,13.09,14.24,57,1526,74.90,21.50,3.58,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
2475,12.98,14.24,57,1527,74.90,22.50,3.58,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.52,0.00
2545,12.98,14.24,57,1524,74.90,23.00,3.56,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.47,0.00
2617,13.09,14.32,57,1517,74.90,22.00,3.58,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
2687,13.09,14.24,57,1518,74.90,22.50,3.56,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.44,0.00
2758,13.09,14.32,57,1529,74.90,22.50,3.56,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
2829,13.09,14.24,57,1521,74.90,21.00,3.57,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
2900,13.09,14.24,57,1518,74.90,22.00,3.56,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.52,0.00
2971,13.09,14.32,57,1530,74.90,22.50,3.59,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
3043,12.98,14.24,57,1521,74.90,22.50,3.57,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
3112,12.98,14.32,57,1523,74.90,22.00,3.57,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
3183,12.98,14.24,57,1536,74.90,20.50,3.60,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.47,0.00
3254,13.09,14.24,57,1525,74.90,22.00,3.58,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
3324,13.09,14.24,57,1523,74.90,22.00,3.57,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.56,0.00
3395,13.09,14.24,57,1532,74.90,21.00,3.60,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
3466,13.09,14.24,57,1522,74.90,22.00,3.58,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.56,0.00
3536,13.09,14.32,57,1524,74.90,22.50,3.57,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
3607,13.09,14.24,57,1519,74.90,22.00,3.58,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.52,0.00
3678,13.09,14.24,57,1521,74.90,22.50,3.57,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
3751,13.09,14.24,57,1530,74.90,22.50,3.59,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
3821,13.09,14.24,57,1521,74.90,21.00,3.57,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.47,0.00
3891,13.21,14.32,57,1522,74.90,22.50,3.57,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
3960,13.21,14.24,57,1532,74.90,21.00,3.60,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.60,0.00
4032,13.21,14.24,57,1529,74.90,21.50,3.59,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.56,0.00
4103,13.21,14.24,57,1524,74.90,22.50,3.58,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
4173,13.21,14.24,57,1534,74.90,21.00,3.60,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.52,0.00
4244,13.09,14.24,57,1527,74.90,22.50,3.58,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
4320,13.09,14.32,57,1531,74.90,22.50,3.57,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
4386,13.21,14.24,57,1534,74.90,21.00,3.59,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.65,0.00
4457,13.21,14.24,57,1528,74.90,22.00,3.60,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
4527,13.21,14.24,57,1538,74.90,22.00,3.59,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.52,0.00
4599,13.21,14.24,57,1537,74.90,21.00,3.61,18,0.00,5.22,0.00,0,0.34,0.00,0.0,-9.72,8.56,0.00
4669,13.21,14.32,57,1530,74.90,21.50,3.59,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
4740,13.21,14.32,57,1536,74.90,22.00,3.60,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
4810,13.09,14.24,57,1544,74.90,21.00,3.62,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
4881,13.21,14.32,57,1534,74.90,21.50,3.60,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.56,0.00
4951,13.21,14.24,57,1540,74.90,21.00,3.61,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.47,0.00
5023,13.21,14.32,57,1536,74.90,21.50,3.60,18,0.00,5.08,0.00,0,0.34,0.00,0.0,-9.87,8.47,0.00
5093,13.21,14.24,57,1525,74.90,22.50,3.58,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
5163,13.21,14.32,57,1531,74.90,22.00,3.59,18,0.00,5.22,0.00,0,0.33,0.00,0.0,-9.72,8.52,0.00
