Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.47,13.84,178,2714,74.90,36.00,5.79,25,0.00,5.66,5.88,53,0.34,0.00,0.0,-9.29,15.56,0.00
70,14.59,13.84,178,2710,74.90,36.00,5.81,25,0.00,5.66,5.88,53,0.34,0.00,0.0,-9.29,15.30,0.00
142,14.59,13.84,178,2714,74.90,36.00,5.78,25,0.00,5.66,5.88,53,0.34,0.00,0.0,-9.29,15.57,0.00
211,14.59,13.84,178,2704,74.90,36.00,5.79,25,0.00,5.66,5.88,53,0.34,0.00,0.0,-9.29,15.43,0.00
283,14.59,13.84,178,2718,74.90,36.00,6.38,25,0.00,5.66,5.88,53,0.34,0.00,0.0,-9.29,15.78,0.00
353,14.59,13.84,178,2712,74.90,36.00,5.79,25,0.00,5.66,5.88,53,0.34,0.00,0.0,-9.29,15.57,0.00
425,14.59,13.84,178,2709,74.90,36.00,5.78,25,0.00,5.66,5.88,53,0.34,0.00,0.0,-9.29,15.50,0.00
495,14.59,13.84,178,2704,74.90,36.00,6.35,25,0.00,5.66,5.88,53,0.35,0.00,0.0,-9.29,15.78,0.00
566,14.59,13.84,178,2706,74.90,36.00,6.35,25,0.00,5.80,6.27,53,0.36,0.00,0.0,-9.14,16.12,0.00
637,14.70,13.84,178,2702,74.90,36.00,6.34,25,0.00,5.95,6.67,53,0.37,0.00,0.0,-9.00,16.46,0.00
707,14.47,13.76,178,2709,74.90,36.00,6.36,25,0.00,5.95,6.67,53,0.37,0.00,0.0,-9.00,16.79,0.00
778,14.47,13.84,178,2702,74.90,35.50,6.34,25,0.00,6.09,7.06,53,0.38,0.00,0.0,-8.85,17.22,0.00
849,14.47,13.76,178,2710,74.90,35.50,6.36,25,0.00,6.09,7.45,53,0.39,0.00,0.0,-8.85,17.59,0.00
918,14.36,13.76,178,2710,74.90,35.50,6.37,25,0.00,6.24,7.45,53,0.40,0.00,0.0,-8.71,18.13,0.00
990,14.47,13.76,178,2711,74.90,35.50,6.94,25,0.00,6.38,7.45,53,0.40,0.00,0.0,-8.56,18.59,0.00
1061,14.47,13.84,178,2705,74.90,35.50,6.94,25,0.00,6.53,7.84,53,0.42,0.00,0.0,-8.42,18.81,0.00
1133,14.59,13.76,178,2702,74.90,35.50,6.93,25,0.00,6.67,8.24,53,0.42,0.00,0.0,-8.27,19.18,0.00
1202,14.59,13.84,178,2708,74.90,35.50,7.51,25,0.00,6.82,8.24,53,0.43,0.00,0.0,-8.13,19.66,0.00
1274,14.47,13.76,178,2704,74.90,35.50,7.50,25,0.00,6.82,8.63,53,0.45,0.00,0.0,-8.13,20.16,0.00
1344,14.47,13.76,178,2700,74.90,35.50,7.49,25,0.00,6.96,8.63,53,0.45,0.00,0.0,-7.98,20.16,0.00
1416,14.59,13.84,178,2700,74.90,35.00,7.49,25,0.00,7.11,8.63,52,0.46,0.00,0.0,-7.84,20.43,0.00
1486,14.70,13.76,178,2691,74.90,35.00,7.46,25,0.00,7.11,8.63,52,0.46,0.00,0.0,-7.84,20.61,0.00
1557,14.47,13.76,178,2702,74.90,35.00,7.49,25,0.00,7.25,9.02,52,0.46,0.00,0.0,-7.69,20.86,0.00
1627,14.59,13.76,178,2688,74.90,35.00,7.45,25,0.00,7.40,9.41,52,0.48,0.00,0.0,-7.55,21.11,0.00
1699,14.59,13.84,178,2700,74.90,35.00,7.49,25,0.00,7.40,9.41,52,0.48,0.00,0.0,-7.55,21.98,0.00
1768,14.81,13.76,178,2690,74.90,35.00,8.03,25,0.00,7.55,9.80,52,0.49,0.00,0.0,-7.40,23.08,0.00
1839,14.81,13.84,178,2696,74.90,34.50,8.07,25,0.00,7.69,10.20,52,0.52,0.00,0.0,-7.25,23.36,0.00
1910,14.93,13.76,178,2695,74.90,34.50,8.63,25,0.00,7.84,10.20,52,0.53,0.00,0.0,-7.11,23.74,0.00
1981,14.59,13.84,178,2687,74.90,34.50,8.62,25,0.00,8.13,10.20,52,0.54,0.00,0.0,-6.82,23.94,0.00
2052,14.59,13.84,178,2696,74.90,34.00,8.63,25,0.00,8.13,10.59,52,0.54,0.00,0.0,-6.82,24.60,0.00
2123,14.59,13.84,178,2707,74.90,34.00,8.66,25,0.00,8.27,10.59,52,0.55,0.00,0.0,-6.67,24.51,0.00
2193,14.59,13.76,178,2708,74.90,34.00,8.67,25,0.00,8.27,10.59,52,0.55,0.00,0.0,-6.67,24.79,0.00
2263,14.70,13.84,178,2704,74.90,34.00,8.65,25,0.00,8.42,10.98,52,0.55,0.00,0.0,-6.53,24.89,0.00
2336,14.70,13.84,178,2707,74.90,34.00,9.24,25,0.00,8.56,10.98,52,0.56,0.00,0.0,-6.38,25.08,0.00
2406,14.81,13.84,178,2713,74.90,34.00,9.26,25,0.00,8.56,10.98,52,0.56,0.00,0.0,-6.38,24.99,0.00
2477,14.70,13.84,178,2706,74.90,34.00,9.24,25,0.00,8.56,10.98,52,0.57,0.00,0.0,-6.38,25.78,0.00
2547,14.70,13.84,178,2708,74.90,34.00,9.24,25,0.00,8.71,10.98,52,0.56,0.00,0.0,-6.24,25.47,0.00
2618,14.59,13.76,178,2706,74.90,34.00,9.24,25,0.00,8.71,10.98,52,0.57,0.00,0.0,-6.24,25.78,0.00
2689,14.70,13.84,178,2720,74.90,34.00,9.24,25,0.00,8.71,10.98,52,0.57,0.00,0.0,-6.24,26.20,0.00
2759,14.70,13.84,178,2711,74.90,33.50,9.29,25,0.00,8.85,10.98,52,0.58,0.00,0.0,-6.09,26.41,0.00
2830,14.81,13.84,178,2702,74.90,33.50,9.25,25,0.00,8.85,11.37,52,0.58,0.00,0.0,-6.09,26.09,0.00
2900,14.70,13.76,178,2698,74.90,33.50,9.22,25,0.00,8.85,11.37,52,0.57,0.00,0.0,-6.09,26.20,0.00
2972,14.70,13.84,178,2713,74.90,33.50,9.26,25,0.00,9.00,11.37,52,0.58,0.00,0.0,-5.95,26.62,0.00
3043,14.81,13.84,178,2708,74.90,33.00,9.24,25,0.00,9.00,11.37,52,0.59,0.00,0.0,-5.95,26.72,0.00
3114,14.93,13.84,178,2706,74.90,33.00,9.81,25,0.00,9.00,11.37,52,0.59,0.00,0.0,-5.95,26.82,0.00
3185,14.81,13.84,178,2709,74.90,33.00,9.83,25,0.00,9.14,11.37,52,0.61,0.00,0.0,-5.80,27.33,0.00
3255,14.81,13.84,178,2711,74.90,33.00,9.25,25,0.00,9.14,11.37,52,0.60,0.00,0.0,-5.80,27.02,0.00
3327,14.70,13.84,178,2713,74.90,33.00,9.84,25,0.00,9.14,11.37,52,0.60,0.00,0.0,-5.80,27.33,0.00
3397,14.81,13.84,178,2704,74.90,33.00,9.80,25,0.00,9.14,11.37,52,0.60,0.00,0.0,-5.80,27.13,0.00
3467,14.70,13.84,178,2718,74.90,33.00,9.86,25,0.00,9.29,11.37,52,0.60,0.00,0.0,-5.66,26.92,0.00
3539,14.81,13.84,178,2702,74.90,33.00,9.80,25,0.00,9.14,10.59,52,0.59,0.00,0.0,-5.80,25.37,0.00
3610,14.70,13.84,178,2718,74.90,33.50,9.27,25,0.00,9.00,8.63,52,0.57,0.00,0.0,-5.95,21.89,0.00
3679,14.47,13.84,178,2712,74.90,34.00,8.70,25,0.00,7.84,7.45,52,0.52,0.00,0.0,-7.11,19.99,0.00
3750,13.90,13.84,178,2715,74.90,34.50,7.52,25,0.00,7.11,5.88,52,0.46,0.00,0.0,-7.84,16.80,0.00
3822,13.90,13.84,178,2722,74.90,35.50,6.39,25,0.00,6.53,5.49,52,0.40,0.00,0.0,-8.42,15.05,0.00
3892,13.67,13.84,178,2730,74.90,35.50,5.82,25,0.00,6.09,5.10,52,0.36,0.00,0.0,-8.85,14.42,0.00
3962,14.36,13.84,178,2721,74.90,36.00,5.81,25,0.00,5.80,5.10,52,0.33,0.00,0.0,-9.14,14.48,0.00
4034,14.70,13.84,178,2720,74.90,36.00,5.22,25,0.00,5.66,5.10,52,0.31,0.00,0.0,-9.29,14.18,0.00
4104,14.93,13.84,178,2711,74.90,36.00,5.78,25,0.00,5.51,5.10,52,0.32,0.00,0.0,-9.43,14.13,0.00
4176,15.16,13.84,178,2727,74.90,36.00,5.82,25,0.00,5.51,4.71,52,0.31,0.00,0.0,-9.43,13.95,0.00
4246,15.39,13.84,178,2707,74.90,36.00,5.78,25,0.00,5.51,4.71,53,0.30,0.00,0.0,-9.43,13.72,0.00
4317,15.39,13.76,178,2725,74.90,36.00,5.81,25,0.00,5.37,4.71,53,0.30,0.00,0.0,-9.58,13.31,0.00
4387,15.27,13.84,178,2698,74.90,36.00,5.75,25,0.00,5.22,3.53,53,0.29,0.00,0.0,-9.72,12.26,0.00
4458,15.16,13.76,178,2702,74.90,36.50,5.21,25,0.00,5.08,3.14,53,0.26,0.00,0.0,-9.87,11.88,0.00
4529,15.04,13.84,178,2709,74.90,36.50,5.19,25,0.00,4.93,3.14,53,0.25,0.00,0.0,-10.01,11.09,0.00
4600,15.04,13.76,178,2693,74.90,36.50,4.62,25,0.00,4.64,2.75,53,0.25,0.00,0.0,-10.30,11.04,0.00
4671,15.04,13.84,178,2689,74.90,36.50,4.59,25,0.00,4.50,2.75,53,0.24,0.00,0.0,-10.45,10.94,0.00
4741,15.27,13.76,178,2683,74.90,36.50,4.58,25,0.00,4.35,0.00,53,0.23,0.00,0.0,-10.59,10.03,0.00
4814,15.04,13.84,178,2683,74.90,34.00,0.00,25,0.00,3.92,0.00,53,0.21,0.00,0.0,-11.03,8.14,0.00
4882,14.81,13.84,178,2656,74.90,32.00,0.00,25,0.00,3.77,0.00,53,0.17,0.00,0.0,-11.17,7.49,0.00
4953,15.04,13.84,178,2684,74.90,30.00,0.00,25,0.00,3.63,0.00,53,0.17,0.00,0.0,-11.32,7.66,0.00
5024,15.73,13.84,178,2660,74.90,28.50,0.00,25,0.00,3.63,0.00,53,0.17,0.00,0.0,-11.32,7.37,0.00
5095,18.26,13.76,178,2669,74.90,26.00,0.00,25,0.00,3.63,0.00,53,0.17,0.00,0.0,-11.32,7.62,0.00
5166,21.71,13.84,178,2679,74.90,23.50,0.00,25,0.00,3.63,0.00,53,0.17,0.00,0.0,-11.32,7.62,0.00
5236,24.58,13.84,178,2662,74.90,21.00,0.00,25,0.00,3.63,0.00,52,0.17,0.00,0.0,-11.32,7.50,0.00
5307,25.38,13.84,178,2660,74.90,19.00,0.00,25,0.00,3.77,0.00,52,0.17,0.00,0.0,-11.17,7.49,0.00
5378,25.38,13.84,178,2651,74.90,19.00,0.00,25,0.00,3.77,0.00,52,0.17,0.00,0.0,-11.17,7.62,0.00
5449,24.35,13.84,178,2630,74.90,19.00,0.00,25,0.00,3.63,0.00,52,0.17,0.00,0.0,-11.32,7.50,0.00
5519,23.54,13.92,178,2624,74.90,19.00,0.00,25,0.00,3.63,0.00,52,0.17,0.00,0.0,-11.32,7.50,0.00
5592,23.54,13.84,178,2621,74.90,19.00,0.00,25,0.00,3.63,0.00,52,0.18,0.00,0.0,-11.32,7.46,0.00
5661,23.54,13.84,178,2628,74.90,19.00,0.00,25,0.00,3.63,0.00,52,0.17,0.00,0.0,-11.32,7.50,0.00
5731,23.89,13.84,178,2617,74.90,19.00,0.00,25,0.00,3.63,0.00,52,0.17,0.00,0.0,-11.32,7.41,0.00
