Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (C),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Manifold Relative Pressure (psi)
0,14.93,14.32,27,0.27,1397,33.33,13.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
66,14.93,14.24,27,0.27,1402,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
131,15.04,14.24,27,0.27,1398,33.33,13.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
197,14.93,14.24,27,0.27,1402,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
263,14.93,14.24,27,0.27,1398,33.33,13.50,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
330,14.81,14.32,27,0.27,1406,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
396,14.81,14.24,27,0.27,1402,33.33,13.00,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
462,14.81,14.24,27,0.26,1408,33.33,12.50,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
528,14.81,14.32,27,0.27,1405,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
594,14.81,14.24,27,0.27,1397,33.33,13.00,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
661,14.70,14.24,27,0.27,1404,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
727,14.70,14.24,27,0.27,1399,33.33,13.50,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
792,14.70,14.32,27,0.27,1404,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
859,14.81,14.24,27,0.27,1397,33.33,13.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
925,14.81,14.32,27,0.27,1402,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
992,14.81,14.24,27,0.27,1392,33.33,14.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1058,14.81,14.24,27,0.27,1399,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1123,14.93,14.24,27,0.27,1394,33.33,14.00,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1189,14.93,14.24,27,0.27,1399,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1256,14.93,14.24,27,0.27,1404,33.33,12.50,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1322,14.93,14.32,27,0.27,1396,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1388,14.93,14.24,27,0.27,1402,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1455,14.81,14.32,27,0.27,1396,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1520,14.81,14.24,27,0.27,1401,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1588,14.81,14.24,27,0.27,1393,33.33,14.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1653,14.81,14.24,27,0.27,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1718,14.93,14.24,27,0.27,1403,33.33,13.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1784,14.93,14.24,27,0.27,1396,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1851,14.93,14.32,27,0.27,1402,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1918,14.93,14.24,27,0.27,1397,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
1986,14.81,14.32,27,0.27,1403,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2050,14.93,14.24,27,0.27,1398,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2115,14.93,14.32,27,0.27,1404,33.33,12.50,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2182,14.81,14.24,27,0.27,1397,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2249,14.81,14.24,27,0.27,1404,33.33,12.50,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2315,14.93,14.24,27,0.27,1398,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2380,14.93,14.24,27,0.27,1402,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2446,14.93,14.24,27,0.27,1398,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2513,14.81,14.24,27,0.27,1404,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2579,14.81,14.24,27,0.27,1396,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2645,14.81,14.32,27,0.27,1404,33.33,12.50,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2713,14.93,14.24,27,0.27,1396,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2780,14.93,14.24,27,0.27,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2845,14.81,14.32,27,0.27,1402,33.33,13.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2910,14.81,14.32,27,0.27,1395,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
2976,14.81,14.32,27,0.27,1399,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3042,14.93,14.32,27,0.27,1396,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3108,14.81,14.32,27,0.27,1400,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3173,14.93,14.32,27,0.27,1394,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3241,14.93,14.32,27,0.27,1398,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3307,14.93,14.24,27,0.27,1392,33.33,14.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3373,14.93,14.32,27,0.27,1398,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3438,14.81,14.24,27,0.27,1391,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3505,14.93,14.32,27,0.27,1401,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3571,14.81,14.24,27,0.27,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3638,14.93,14.24,27,0.27,1399,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3704,14.81,14.24,27,0.27,1392,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3770,14.93,14.24,27,0.27,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3836,14.93,14.24,28,0.27,1390,33.33,14.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3903,14.93,14.32,28,0.27,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
3969,14.93,14.32,28,0.27,1390,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4035,14.93,14.24,28,0.27,1397,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4101,14.93,14.16,28,0.27,1398,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4176,15.04,14.32,28,0.27,1393,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4233,14.93,14.32,28,0.27,1402,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4299,14.93,14.24,28,0.27,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4366,14.93,14.32,28,0.27,1406,33.33,11.50,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4431,14.93,14.24,28,0.27,1398,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4497,14.81,14.32,28,0.27,1402,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
